"","HEK_Exosome_PRTF_1","HEK_Exosome_SDPR_1","HEK_Exosome_CAV_1","HEK_Exosome_PN4.11_1","HEK_Exosome_PRKCA4_1","HEK_Exosome_SDPR_2","HEK_Exosome_PRTF_2","HEK_Exosome_CAV_2","HEK_Exosome_PN4.11_2","HEK_Exosome_PRKCA4_2","HEK_Exosome_SDPR_3","HEK_Exosome_PRTF_3","HEK_Exosome_CAV_3","HEK_Exosome_PN4.11_3","HEK_Exosome_PRKCA4_3"
"hsa-miR-590-3p",12,27,30,28,18,11,6,3,9,7,0,1,13,16,20
"hsa-miR-338-3p",3,2,0,0,3,0,0,0,0,1,0,0,2,0,6
"hsa-let-7f-2-5p",644,1017,279,1693,313,314,322,95,535,538,53,36,1533,681,1534
"hsa-miR-30c-2-3p",23,32,3,31,5,2,6,0,27,24,1,0,39,3,46
"hsa-miR-1254-1-5p",30,16,6,19,16,11,7,4,7,22,1,0,22,2,51
"hsa-miR-590-5p",3,0,0,4,0,3,0,0,1,0,0,0,4,0,0
"hsa-miR-4485-3p",6,12,1,17,1,1,6,0,21,7,8,0,292,21,429
"hsa-miR-1273d-3p",31,30,1,23,8,3,23,1,10,14,0,0,39,8,44
"hsa-miR-9-3-3p",107,89,4,60,29,5,14,2,9,15,1,1,53,4,36
"hsa-miR-8485-3p",19,0,1,39,0,0,53,0,37,35,8,0,34,0,21
"hsa-miR-4510-5p",1,1,0,1,0,1,0,0,1,0,0,0,1,1,1
"hsa-miR-548a-3-3p",5,13,0,7,1,1,7,0,3,4,0,0,5,0,1
"hsa-miR-195-5p",15,13,2,24,0,0,3,1,0,3,0,0,5,0,4
"hsa-miR-3176-3p",31,10,4,29,3,7,5,2,4,12,0,0,9,0,7
"hsa-miR-551b-5p",2,1,7,2,4,1,0,0,1,3,0,2,5,0,8
"hsa-let-7a-2-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"hsa-miR-422a-5p",45,26,22,23,25,8,13,1,7,17,0,0,13,9,22
"hsa-miR-4474-3p",15,4,3,11,7,0,1,1,1,1,0,0,1,1,4
"hsa-miR-3653-5p",0,1,0,4,0,3,0,0,0,1,0,0,0,0,2
"hsa-miR-3135b-3p",26,20,3,11,7,3,21,0,7,10,1,0,21,0,4
"hsa-miR-20a-5p",17499,17476,4824,23259,5707,2997,15078,1115,6974,15157,161,94,16953,1342,12244
"hsa-miR-1255a-5p",4,1,2,3,0,1,0,0,0,6,0,0,0,0,6
"hsa-miR-320b-1-3p",1299,765,1224,731,1689,398,224,159,91,276,51,9,274,200,602
"hsa-miR-455-3p",0,4,0,7,1,0,0,0,0,0,0,0,6,1,6
"hsa-miR-18b-5p",8,4,3,8,2,2,0,0,1,2,0,0,4,1,1
"hsa-miR-486-2-3p",2,2,0,1,0,1,0,1,1,1,0,0,4,0,2
"hsa-miR-500b-5p",3,8,4,5,1,6,1,0,2,2,0,2,4,0,4
"hsa-miR-3929-3p",83,124,5,51,6,2,64,2,43,70,1,0,81,5,53
"hsa-miR-548ar-3p",8,6,0,7,7,1,5,0,0,4,0,0,3,3,4
"hsa-miR-30d-5p",2867,1661,1003,2906,1399,315,867,145,936,1094,57,108,3619,960,2895
"hsa-miR-205-5p",4,11,0,51,2,0,1,12,2,9,7,4,98,152,8
"hsa-miR-1275-5p",0,1,1,0,1,0,0,0,0,1,0,0,0,1,8
"hsa-miR-320d-2-3p",301,167,151,232,159,55,55,18,10,50,8,0,62,22,76
"hsa-miR-573-5p",1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"hsa-miR-548an-5p",36,9,4,14,8,0,5,1,1,2,0,0,5,0,4
"hsa-miR-204-5p",6,11,7,8,3,1,1,0,0,0,1,0,11,3,13
"hsa-miR-320b-2-3p",1423,868,1282,878,1747,414,280,172,157,361,55,11,363,235,765
"hsa-miR-342-3p",25,43,25,74,14,18,25,1,20,26,1,1,30,6,24
"hsa-miR-548h-3-3p",15,16,9,14,12,10,4,3,4,11,0,0,12,6,14
"hsa-miR-24-2-5p",3,2,2,7,1,1,0,1,0,2,0,0,10,5,4
"hsa-miR-29c-5p",0,1,0,1,2,0,0,0,0,0,0,0,1,0,3
"hsa-miR-219a-1-3p",6,2,9,2,1,1,0,0,0,4,0,0,4,3,5
"hsa-miR-664a-5p",4,2,2,5,1,3,2,0,0,1,0,0,5,0,7
"hsa-miR-23b-5p",7,1,0,3,7,0,0,0,0,3,1,0,5,2,2
"hsa-miR-744-3p",7,10,12,12,13,2,8,0,1,9,0,0,8,0,7
"hsa-miR-619-5p",24,41,1,29,8,5,25,3,17,18,2,1,39,2,47
"hsa-let-7d-3p",8,5,3,2,2,0,0,1,1,2,0,0,17,5,4
"hsa-miR-4473-5p",2,1,0,3,0,0,1,0,3,1,0,0,0,0,2
"hsa-miR-502-5p",0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
"hsa-miR-106a-5p",488,531,118,707,140,66,430,27,197,395,3,2,511,58,391
"hsa-miR-766-3p",1,1,0,4,0,2,1,0,2,0,1,0,0,3,0
"hsa-miR-1248-5p",0,0,1,1,0,0,0,0,0,0,0,0,0,1,5
"hsa-miR-1271-5p",21,15,4,31,2,7,13,0,2,9,1,0,18,3,25
"hsa-miR-15a-5p",165,114,11,104,22,9,18,2,11,22,2,0,93,5,47
"hsa-miR-1296-5p",25,19,28,21,31,18,3,5,4,7,1,0,20,7,38
"hsa-miR-5684-3p",9,16,0,9,2,5,10,1,7,9,0,0,26,3,26
"hsa-miR-93-5p",7912,8812,1497,9380,1750,1442,4789,303,2746,5165,67,44,5228,394,4746
"hsa-miR-3929-5p",8,14,2,6,2,2,16,0,7,7,0,0,23,0,17
"hsa-miR-502-3p",925,873,266,615,312,105,118,16,56,131,7,0,209,34,161
"hsa-miR-3677-3p",4,0,0,4,3,2,2,0,1,1,0,0,3,0,8
"hsa-miR-561-5p",21,5,13,22,34,20,8,1,10,2,1,0,13,8,29
"hsa-miR-151a-5p",31,16,48,160,111,58,7,15,12,21,7,2,63,54,46
"hsa-miR-7641-1-3p",100,223,38,255,73,47,460,18,476,218,24,0,207,36,141
"hsa-miR-9-2-3p",26,22,4,22,9,1,6,1,4,4,0,1,21,5,16
"hsa-miR-130a-5p",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"hsa-miR-584-5p",5,10,1,9,0,1,2,1,1,2,0,1,7,12,1
"hsa-miR-423-5p",1256,936,1138,806,1545,537,293,203,126,370,44,16,396,232,583
