"","PC3_Exosome_GFP_4.3","PC3_Exosome_CAV1_4.3","PC3_Exosome_CAV2_4.3","PC3_Exosome_CAV3_4.3","PC3_Exosome_GFP_23.3","PC3_Exosome_CAV1_23.3","PC3_Exosome_CAV2_23.3","PC3_Exosome_CAV3_23.3","PC3_Exosome_GFP_6.3","PC3_Exosome_CAV1_6.3","PC3_Exosome_CAV2_6.3","PC3_Exosome_CAV3_6.3"
"hsa-miR-590-3p",22,27,4,6,5,14,10,12,5,0,10,7
"hsa-let-7f-2-5p",18763,11965,8713,7532,21915,10698,12063,14688,2655,110,31926,5249
"hsa-miR-30c-2-3p",10,5,14,8,9,12,23,12,3,4,66,2
"hsa-miR-1254-1-5p",2,3,2,1,6,0,3,7,2,1,25,2
"hsa-miR-4485-3p",3,2,11,6,4,5,8,4,4,0,43,24
"hsa-miR-1273d-3p",1,0,0,0,3,2,0,1,1,1,3,0
"hsa-miR-9-3-3p",4,5,5,2,1,4,0,8,2,0,26,2
"hsa-miR-8485-3p",0,0,0,0,0,0,0,0,0,0,1,0
"hsa-miR-195-5p",0,1,1,1,4,3,0,7,0,0,12,1
"hsa-miR-3176-3p",1,2,3,0,2,1,0,2,0,0,3,0
"hsa-let-7a-2-3p",13,12,33,23,19,13,32,32,0,0,34,8
"hsa-miR-422a-5p",20,15,22,19,29,26,19,25,6,2,76,6
"hsa-miR-4474-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3135b-3p",1,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-20a-5p",3549,1501,894,424,2688,1116,975,1800,515,232,6079,1288
"hsa-miR-320b-1-3p",1099,694,1327,1038,448,527,414,570,212,25,1780,274
"hsa-miR-3929-3p",5,6,10,2,6,5,9,9,1,0,18,3
"hsa-miR-30d-5p",4943,4601,6856,5068,10813,4438,6065,10079,954,329,11251,2253
"hsa-miR-205-5p",6079,4835,3973,2743,10000,5773,4195,5233,1034,29,4600,2251
