miRNAs	HEK_Pellet_SDPR_1	HEK_Pellet_PRTF_1	HEK_Pellet_CAV_1	HEK_Pellet_PN4-11_1	HEK_Pellet_PRKCA4_1	HEK_Pellet_SDPR_2	HEK_Pellet_PRTF_2	HEK_Pellet_CAV_2	HEK_Pellet_PN4-11_2	HEK_Pellet_PRKCA4_2	HEK_Pellet_SDPR_3	HEK_Pellet_PRTF_3	HEK_Pellet_CAV_3	HEK_Pellet_PN4-11_3	HEK_Pellet_PRKCA4_3	HEK_Exosome_PTRF_1	HEK_Exosome_SDPR_1	HEK_Exosome_CAV_1	HEK_Exosome_PN4-11_1	HEK_Exosome_PRKCA4_1	HEK_Exosome_SDPR_2	HEK_Exosome_PRTF_2	HEK_Exosome_CAV_2	HEK_Exosome_PN4-11_2	HEK_Exosome_PRKCA4_2	HEK_Exosome_SDPR_3	HEK_Exosome_PRTF_3	HEK_Exosome_CAV_3	HEK_Exosome_PN4-11_3	HEK_Exosome_PRKCA4_3	PC3_Pellet_GFP_4.3	PC3_Pellet_CAV1_4.3	PC3_Pellet_CAV2_4.3	PC3_Pellet_CAV3_4.3	PC3_Pellet_GFP_23.3	PC3_Pellet_CAV2_23.3Q	PC3_Pellet_CAV2_23.3	PC3_Pellet_CAV3_23.3	PC3_Pellet_GFP_6.3	PC3_Pellet_CAV1_6.3	PC3_Pellet_CAV2_6.3	PC3_Pellet_CAV3_23.3F	PC3_Exosome_GFP_4.3	PC3_Exosome_CAV1_4.3	PC3_Exosome_CAV2_4.3	PC3_Exosome_CAV3_4.3	PC3_Exosome_GFP_23.3	PC3_Exosome_CAV1_23.3	PC3_Exosome_CAV2_23.3	PC3_Exosome_CAV3_23.3	PC3_Exosome_GFP_6.3	PC3_Exosome_CAV1_6.3	PC3_Exosome_CAV2_6.3	PC3_Exosome_CAV3_6.3	
hsa-miR-590-3p	272.3288941	62.94284952	371.518921	69.86153544	279.4992003	268.6671804	14.25053202	36.83926582	80.92503131	34.9499761	237.7776622	35.91978509	48.48147687	22.62686605	38.93216427	37.37237483	24.67906543	0	54.17414139	20.15286199	84.27160781	88.72474955	28.39943925	84.97625666	53.14445659	20.66643141	29.24924067	29.69641923	38.94578562	37.12030585	71.31286237	60.76346657	88.44626663	78.58580546	104.0616198	127.6294429	41.85126886	56.93851022	9.691104096	13.57966676	10.45983641	31.49663295	23.65978016	118.6296545	26.24100432	31.47670826	0	14.8624603	26.54934813	45.61136826	38.67114323	74.24521196	236.7304154	50.8404869	
hsa-miR-338-3p	10.12573187	3.933928095	3.104614938	3.881196413	5.516431585	7.153859833	3.562633005	2.728834505	0	0	12.54763389	5.986630848	0	0	0	0	3.525580775	0	0	3.100440306	0	1.547524701	8.519831775	0	0	0	0	1.349837238	2.434111601	5.568045878	0	3.574321563	5.602930918	2.455806421	3.106317008	0	3.804660805	0	0	0	2.091967283	0	0	7.20647434	0	0	0	0	0	0	0	3.807446767	14.45681926	1.05917681	
hsa-let-7f-2-5p	2382.211657	3630.359977	3123.242628	3114.660122	2729.407761	2369.517351	764.7785518	1387.612346	752.6027912	2113.225341	2668.881729	624.6051518	1383.925794	1214.308478	1232.851869	2221.580059	1896.762457	1587.282619	1950.26909	2376.487495	3586.810307	2756.141493	2178.23699	29839.54128	48325.58299	57914.22962	38838.11674	114741.5646	45199.01832	81995.04359	25563.68025	29065.19151	5735.000004	31522.73121	24471.56539	41794.88875	35693.42534	25232.19536	21109.6475	17047.00834	45845.463	24067.92709	28540.79281	3828.300907	32118.98929	16714.13209	2890.417781	47449.89076	19908.21833	3876.966302	4872.564046	5701.651534	2967.864521	3550.360668	
hsa-miR-30c-2-3p	125.7722485	260.2949089	134.533314	189.6934747	125.6520528	144.6669433	27.31351971	43.66135208	8.092503131	38.69461639	107.9096515	9.97771808	8.814813976	22.62686605	0	112.1171245	84.61393861	29.94872866	0	60.45858597	15.80092646	68.09108687	65.31871027	54.07579969	61.11612508	199.7755036	56.87352353	163.3303058	111.9691337	265.4101868	45.56099541	27.40313198	274.1434056	24.55806421	43.48843812	70.0710667	19.02330403	10.54416856	33.91886433	18.10622235	18.82770554	26.99711396	54.41749437	241.6940625	26.24100432	18.88602496	105.1061011	98.092238	7.585528037	228.0568413	38.67114323	227.9708752	86.74091558	198.0660635	
hsa-miR-1254-1-5p	5.862265821	19.66964047	6.209229877	17.46538386	12.25873686	7.153859833	35.62633005	21.83067604	16.18500626	23.71605521	8.15596203	31.92869785	48.48147687	26.39801039	51.90955236	29.06740265	77.56277706	29.94872866	0	34.10484337	10.53395098	4.126732537	72.41857009	28.32541889	15.94333698	13.77762094	22.74940941	6.74918619	17.03878121	18.56015293	11.88547706	3.574321563	14.40753665	14.73483852	7.765792521	5.005076193	3.804660805	6.326501135	4.845552048	2.263277794	12.5518037	0	7.097934048	5.5434418	15.30725252	12.5906833	26.27652528	37.15615076	7.585528037	0	0	9.518616917	7.228409631	9.003002888	
hsa-miR-590-5p	6.395199078	14.42440301	10.34871646	5.336645068	9.806989485	9.538479777	3.562633005	0	0	4.992853728	2.509526778	0	13.22222096	0	0	4.152486092	0	0	0	6.200880612	0	3.095049403	0	7.725114242	1.328611415	0	0	0	0	0	0	0	7.203768323	0	3.106317008	2.502538096	0	2.108833712	0	0	0	2.249759496	0	8.86950688	0	0	0	0	0	0	0	2.855585075	7.830777101	2.647942026	
hsa-miR-4485-3p	7.993998847	3.278273412	2.069743292	2.91089731	0.612936843	0	7.12526601	16.37300703	2.697501044	21.21962835	5.646435251	1.995543616	4.407406988	22.62686605	0	87.20220794	24.67906543	239.5898293	0	452.6642847	110.6064852	3.095049403	609.1679719	2.575038081	10.62889132	13.77762094	29.24924067	20.24755857	46.24812042	55.68045878	47.54190825	33.36033459	16.4085834	7.367419262	52.80738914	7.507614289	5.706991208	4.217667424	26.65053626	13.57966676	8.36786913	11.24879748	18.92782413	11.0868836	8.74700144	25.18136661	0	63.9085793	91.02633645	45.61136826	0	7.614893534	6.626042162	12.71012172	
hsa-miR-1273d-3p	2.664666282	1.966964047	1.034871646	2.425747758	1.225873686	0	36.81387439	40.93251758	2.697501044	28.70890894	0.627381695	15.96434893	13.22222096	86.73631985	12.97738809	41.52486092	49.35813086	0	0	60.45858597	42.1358039	0.515841567	62.47876635	5.150076161	17.27194839	13.77762094	12.99966252	8.099023428	7.302334803	7.42406117	5.942738531	14.29728625	0.400209351	9.823225682	13.97842654	22.52284287	1.902330403	0	0	0	6.275901848	4.499518993	0	1.66303254	2.18675036	6.295341652	26.27652528	4.458738091	0	0	0	1.903723383	0	1.588765216	
hsa-miR-6764-5p	0	0.655654682	0	0.485149552	0	0.794873315	7.12526601	5.45766901	2.697501044	0	0	0	4.407406988	0	0	0	0	0	0	1.550220153	0	0.515841567	1.419971962	0	0	0	0	0	0	1.856015293	0	0	0.400209351	0	0	0	1.902330403	2.108833712	0	2.263277794	4.183934565	0	0	0.55434418	0	0	0	0	0	0	0	0	0	0	
hsa-miR-9-3-3p	38.90412772	22.94791389	21.73230457	18.43568296	38.6150211	26.23081939	127.0672438	121.4331355	10.79000418	74.89280592	29.48693965	57.87076486	22.03703494	52.79602078	25.95477618	37.37237483	52.88371163	29.94872866	54.17414139	82.16166811	21.06790195	13.92772231	51.11899065	7.725114242	2.65722283	3.444405235	3.24991563	9.448860665	9.736446404	12.99210705	5.942738531	2.382881042	56.82972788	4.911612841	4.659475513	7.507614289	7.609321611	10.54416856	12.11388012	4.526555588	2.091967283	8.999037985	0	55.434418	17.49400288	12.5906833	0	38.64239679	7.585528037	0	0	30.93550498	26.50416865	21.18353621	
