miRNAs	10_S10	11_S11	12_S12	13_S13	14_S14	15_S15	16_S16	17_S17	18_S18	19_S19	1_S1	20_S20	21_S21	22_S22	23_S23	24_S24	25_S25	26_S26	27_S27	28_S28	29_S29	2_S2	30_S30	31_S31	32_S32	33_S33	34_S34	35_S35	36_S36	37_S37	38_S38	39_S39	3_S3	40_S40	41_S41	42_S42	43_S43	44_S44	45_S45	46_S46	47_S47	48_S48	49_S49	4_S4	50_S50	51_S51	52_S52	53_S53	54_S54	5_S5	6_S6	7_S7	8_S8	9_S9
hsa-miR-590-3p	511	96	359	144	456	338	12	27	30	28	379	18	11	6	3	9	7	0	1	13	16	172	20	33	40	6	18	22	16	20	36	51	221	32	67	51	22	27	4	6	5	14	10	214	12	5	0	10	7	1	1	156	393	96
hsa-miR-338-3p	19	6	3	8	9	9	3	2	0	0	20	3	0	0	0	0	1	0	0	2	0	3	6	0	0	0	0	1	1	3	0	3	14	1	2	0	2	0	0	0	1	0	0	13	0	0	0	0	0	0	0	8	24	2
hsa-miR-513a-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-6738-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7f-2-5p	4470	5537	3018	6420	4453	2981	644	1017	279	1693	4254	313	314	322	95	535	538	53	36	1533	681	5343	1534	11588	36373	16814	23901	85004	18569	44178	12905	24395	14330	12836	15756	16701	18763	11965	8713	7532	21915	10698	12063	6906	14688	2655	110	31926	5249	85	126	11980	4927	6704
hsa-miR-133a-1-3p	3	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	2
hsa-miR-4474-5p	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-30c-2-3p	236	397	130	391	205	182	23	32	3	31	172	5	2	6	0	27	24	1	0	39	3	132	46	21	46	58	35	121	46	143	23	23	685	10	28	28	10	5	14	8	9	12	23	436	12	3	4	66	2	5	1	479	144	374
hsa-miR-5585-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1254-1-5p	11	30	6	36	20	9	30	16	6	19	13	16	11	7	4	7	22	1	0	22	2	8	51	11	12	4	14	5	7	10	6	3	36	6	5	2	2	3	2	1	6	0	3	10	7	2	1	25	2	0	0	20	12	17
hsa-miR-520e-3p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6073-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-3198-2-3p	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
hsa-miR-6888-3p	4	2	1	2	2	2	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	3	0	1	1	3	1	2	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	2
hsa-miR-2467-5p	1	2	3	1	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1
hsa-miR-590-5p	12	22	10	11	16	12	3	0	0	4	4	0	3	0	0	1	0	0	0	4	0	6	0	3	1	0	0	0	0	0	0	0	18	0	2	1	0	1	0	0	0	1	0	16	0	0	0	0	0	0	0	6	13	5
hsa-miR-6811-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-4485-3p	15	5	2	6	1	0	6	12	1	17	9	1	1	6	0	21	7	8	0	292	21	6	429	1	8	4	18	15	19	30	24	28	41	3	34	3	3	2	11	6	4	5	8	20	4	4	0	43	24	1	0	16	11	24
hsa-miR-4706-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1273d-3p	5	3	1	5	2	0	31	30	1	23	1	8	3	23	1	10	14	0	0	39	8	1	44	2	13	4	8	6	3	4	3	12	1	4	9	9	1	0	0	0	3	2	0	3	1	1	1	3	0	0	0	4	0	3
hsa-miR-215-3p	4	1	1	2	2	1	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	2	0
