,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-10b-3p,5.289272322,-1.958753891,0.609994896,-3.211098823,0.001322285,0.040329678
hsa-miR-574-5p,66.31239514,1.869250438,0.479199481,3.900777259,9.59E-05,0.004763996
hsa-miR-363-3p,25.55038325,-3.673313353,0.546324211,-6.723687655,1.77E-11,6.48E-09
hsa-miR-934-5p,58.29721801,2.229358867,0.471440906,4.728819322,2.26E-06,0.000275512
hsa-miR-222-3p,5904.509019,1.500604408,0.482187613,3.112075814,0.001857768,0.05230331
hsa-miR-203a-3p,856.4498498,-1.744266946,0.448567503,-3.88852722,0.000100854,0.004763996
hsa-miR-148a-5p,136.8177983,-1.500100278,0.455595986,-3.292610831,0.000992618,0.033027097
hsa-miR-221-5p,548.3848465,1.630104312,0.46561245,3.500989528,0.000463534,0.018850385
hsa-miR-221-3p,6094.443964,1.547353856,0.453521354,3.411865484,0.000645199,0.023614299
hsa-miR-146a-5p,28.88801055,-2.156084482,0.523321887,-4.119996763,3.79E-05,0.003466731
hsa-miR-424-3p,312.3136265,-1.693482025,0.436379094,-3.880758838,0.000104131,0.004763996
hsa-miR-125b-2-3p,25.50497133,-2.040174207,0.510260998,-3.998295409,6.38E-05,0.004670182
hsa-miR-10b-5p,2268.2501,-2.486038349,0.416222404,-5.972860487,2.33E-09,4.27E-07
