,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
hsa-miR-363-3p,32.87337776,-3.762273133,0.537648593,-6.997643403,2.60E-12,1.06E-09,Shared with CAV3 and 2
hsa-miR-10b-5p,2939.424979,-2.482926816,0.419859407,-5.913710106,3.34E-09,6.81E-07,
hsa-miR-146a-5p,37.45916794,-2.151619242,0.510263623,-4.216681625,2.48E-05,0.002522623,
hsa-miR-125b-2-3p,33.11374859,-2.072748443,0.504075802,-4.11197767,3.92E-05,0.003193194,Shared with Cav3
hsa-miR-10b-3p,6.811248169,-1.946662785,0.586610025,-3.318495595,0.000905037,0.032602336,
hsa-miR-522-3p,4.153260026,-1.764060462,0.614988188,-2.868446088,0.004124935,0.093269361,
hsa-miR-1247-3p,8.426982681,-1.761228989,0.595392822,-2.95809577,0.003095459,0.089989426,
hsa-miR-203a-3p,1102.195266,-1.747702839,0.445245823,-3.925253756,8.66E-05,0.005403754,Cav3 shared
hsa-miR-424-3p,402.9337518,-1.699428739,0.436014155,-3.897645795,9.71E-05,0.005403754,
hsa-miR-1247-5p,7.945388957,-1.675352248,0.57849988,-2.896028687,0.003779179,0.093269361,
hsa-miR-148a-5p,176.963577,-1.505615561,0.456021911,-3.301629868,0.000961248,0.032602336,
hsa-miR-139-5p,24.77084053,-1.372184825,0.478048171,-2.870390284,0.004099654,0.093269361,
hsa-miR-148a-3p,17645.70647,-1.338509274,0.46445158,-2.881913489,0.003952682,0.093269361,
hsa-miR-222-3p,7548.579314,1.461347182,0.478218106,3.055817344,0.002244479,0.070269471,
hsa-miR-221-3p,7768.386315,1.516082368,0.449253067,3.374673386,0.000739033,0.030078661,
hsa-miR-221-5p,700.3609303,1.596017754,0.461885461,3.455440558,0.000549394,0.024844832,
hsa-miR-574-5p,84.87402892,1.821709749,0.470005308,3.875934416,0.000106216,0.005403754,Shared with CAV3 and 2
hsa-miR-934-5p,74.12962545,2.21668453,0.463369859,4.7838341,1.72E-06,0.000233323,
