"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-590-3p",121.976566021665,1.61332486227186,0.686989387382946,2.34839852245424,0.0188543360449263,0.0408926824815454
"hsa-let-7f-2-5p",29270.3210375827,-3.78639261396677,0.577976294698332,-6.55112095201591,5.71067807262512e-11,7.0287072861205e-10
"hsa-miR-4485-3p",11.9976696896525,-2.17089172814688,0.823723186767078,-2.6354626930767,0.00840226616303702,0.0209257959573736
"hsa-miR-1273d-3p",5.36209614839815,-2.95997811776478,0.98824276374392,-2.99519331318047,0.00274270957742917,0.00801997666614334
"hsa-miR-9-3-3p",14.0967696469682,1.81277872077687,0.731484765348343,2.47821801170883,0.0132040437850907,0.0303461357166121
"hsa-miR-3176-3p",9.3871018103065,2.84374610451607,0.990879959111956,2.86991989126986,0.00410575802911942,0.0112994601221564
"hsa-miR-551b-5p",6.00082000143296,5.98797704642098,1.98879848635079,3.01085157069292,0.00260516165855218,0.00772118048122931
"hsa-let-7a-2-3p",20.3270207414491,-5.66976229972814,0.95666665508514,-5.92658087285748,3.09307089344805e-09,3.16556474251324e-08
"hsa-miR-422a-5p",33.5759697626263,1.11598305575064,0.554776263410614,2.01159121136489,0.0442630466076805,0.0835512839424516
"hsa-miR-3135b-3p",4.70483584320167,-2.08378031028163,1.01227535613405,-2.0585113503501,0.0395410728409309,0.0759513275976825
"hsa-miR-1255a-5p",11.830086971642,4.25252357742034,1.10452160568326,3.85010447558401,0.000118067451288938,0.000529686168453799
"hsa-miR-18b-5p",10.3223138387171,1.78457861155039,0.866239362617439,2.06014490747463,0.0393846898548576,0.0759513275976825
"hsa-miR-500b-5p",46.7724796084862,2.37265434988756,0.60821450683194,3.90101571606079,9.57899312442314e-05,0.000441847922288532
"hsa-miR-3929-3p",12.0741578691646,-3.58739747775335,0.790799513321646,-4.53641841872787,5.72176080636203e-06,3.82423808996646e-05
"hsa-miR-205-5p",16352.7515297184,-10.970930797371,0.556383268590179,-19.7182974699621,1.50199836799145e-86,9.83808931034397e-84
"hsa-miR-1275-5p",71.9021904731999,-3.07167443883874,0.634707157717598,-4.83951441462305,1.30156751381951e-06,9.91310141339281e-06
"hsa-miR-573-5p",8.28736263100379,2.31389473793325,0.940551063153456,2.46014791602626,0.0138879764118759,0.0317698740050517
"hsa-miR-204-5p",25.7266860126885,6.14064728748781,1.31084772158179,4.68448560911251,2.80663884605556e-06,1.9875872012349e-05
"hsa-miR-24-2-5p",126.628606447793,-5.53467845744516,0.597142505086658,-9.26860575205908,1.88594972462592e-20,6.50156352436831e-19
"hsa-miR-219a-1-3p",8.73314267631803,2.30327502009232,0.876219633529123,2.62865032002933,0.00857244590537212,0.0211088423609727
"hsa-miR-744-3p",15.2287246706295,1.45484671951375,0.706366746929882,2.05961949063574,0.039434931450098,0.0759513275976825
"hsa-miR-619-5p",18.4733998637536,-3.73802513128569,0.740954756101366,-5.04487635784108,4.53814730910768e-07,3.86037206164355e-06
"hsa-let-7d-3p",155.344234945249,-6.93712948870577,0.674700452697789,-10.2817916617184,8.51301433201618e-25,3.982874562479e-23
"hsa-miR-1248-5p",23.1195808232415,-2.30011432249564,0.710772807705144,-3.23607529376646,0.00121185413896839,0.00436134319244119
"hsa-miR-1271-5p",8.3171568154277,3.78344727460235,1.16887282170582,3.2368339859942,0.00120863702152502,0.00436134319244119
"hsa-miR-5684-3p",3.2026258259528,-4.54749298587895,1.50838263136275,-3.01481394132106,0.00257136942187329,0.00765566805148638
"hsa-miR-93-5p",3535.46744705505,1.16727841396843,0.500279877600906,2.33325077867637,0.0196349871524188,0.0421669396224076
"hsa-miR-3929-5p",2.81701936955201,-3.39225281771216,1.29861937785217,-2.61219944470774,0.00899617549146527,0.0219051856762444
"hsa-miR-502-3p",157.890441063745,1.04836784703873,0.513514112458629,2.04155605776695,0.0411955878945742,0.0784392734620526
"hsa-miR-561-5p",26.2966591149014,3.70331376225752,0.769489204706384,4.81269098982435,1.48911447630971e-06,1.12111492181938e-05
"hsa-miR-151a-5p",1201.54119528215,-1.61811028305571,0.625697037461657,-2.58609228776293,0.00970709359701432,0.0234617944872486
"hsa-miR-7641-1-3p",304.20763397671,-1.7728793088823,0.831774960179698,-2.13144106730417,0.0330528226508358,0.0662067242700228
"hsa-miR-9-2-3p",5.50737731512111,2.60575913745006,1.09679419605482,2.37579588479134,0.0175111465467854,0.0384892650608873
