"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7f-2-5p",34590.7277355555,-3.92707576954559,0.567108886142441,-6.92472973974741,4.36808621256985e-12,5.30763683187733e-11
"hsa-miR-1273d-3p",6.13525418218596,-3.28487158311988,0.985719447095531,-3.33246096827947,0.000860815442800528,0.00269109293768709
"hsa-miR-9-3-3p",21.0439555263798,2.23213483703388,0.688583095165994,3.24163467372923,0.00118846265719692,0.00354337940386489
"hsa-miR-3176-3p",10.9648185423759,2.89508347725508,0.910955630426048,3.17807298243611,0.00148257426731063,0.00432026166582827
"hsa-miR-551b-5p",9.32395886481262,6.29390292195159,1.91829460199305,3.28098870497389,0.00103443886653928,0.00312759920211877
"hsa-let-7a-2-3p",23.2567690624216,-7.45920425138204,1.22510729204462,-6.0886130543988,1.1389301495912e-09,1.09473286020408e-08
"hsa-miR-3653-5p",11.72645243751,-1.21692822039778,0.602083388844507,-2.02119547382508,0.0432595340724105,0.0809858719262569
"hsa-miR-3135b-3p",4.71941949869942,-3.39717144965956,1.10255687974124,-3.08117568542752,0.00206184953238019,0.00579838907796
"hsa-miR-1255a-5p",7.14778335843004,3.27630214675605,1.1209808689701,2.92271013488941,0.00346999387661686,0.00897460263671187
"hsa-miR-455-3p",17.4512680922806,1.14345109019646,0.586853462647695,1.94844396936429,0.0513618630003148,0.0937026622442003
"hsa-miR-18b-5p",11.8027529361894,1.78072986909375,0.715824438950312,2.48766285725731,0.0128585565586408,0.0290558260482972
"hsa-miR-500b-5p",52.8883329698191,2.31246155475099,0.60529768161484,3.82037074482378,0.000133251223048149,0.000579822889479783
"hsa-miR-3929-3p",16.073846539398,-2.15632798359908,0.604044216876576,-3.56981810826554,0.000357229183548978,0.00137757840841642
"hsa-miR-205-5p",19313.5979471433,-11.9367656979047,0.501171592857675,-23.8177220497304,2.18850451554837e-125,7.04698454006576e-123
"hsa-miR-1275-5p",84.9703006599803,-3.07851694905682,0.596021121917904,-5.16511384554733,2.40292623400541e-07,1.79940057523196e-06
"hsa-miR-204-5p",26.4331860032261,5.95460247367289,1.25556643886123,4.74256263099353,2.11031555122147e-06,1.34558734157092e-05
"hsa-miR-24-2-5p",150.22224588206,-5.28037236743103,0.506583389048784,-10.4235008126619,1.93689709211566e-25,5.93981774915471e-24
"hsa-miR-219a-1-3p",7.9210525703624,1.84055040211102,0.851140640993837,2.16245155437754,0.0305833874330284,0.0600478704477754
"hsa-miR-619-5p",21.7051933563135,-3.80654520690744,0.695284310120189,-5.47480383420335,4.37996533552407e-08,3.76093023477e-07
"hsa-let-7d-3p",179.952814331802,-8.82009096837987,0.825822958180663,-10.6803654233724,1.25775577351585e-26,4.04997359072103e-25
"hsa-miR-1248-5p",25.6274148174289,-2.70236101992608,0.790409314892509,-3.41893873086956,0.000628658801964419,0.00207618599212865
"hsa-miR-1271-5p",16.953556386852,4.56743117473935,1.04148777714873,4.38548706471002,1.15726535472822e-05,6.48068598647805e-05
"hsa-miR-5684-3p",3.71287849766999,-4.85924089299377,1.43120012097493,-3.39522113069951,0.000685731914125553,0.00223036036715584
"hsa-miR-93-5p",6334.45972589769,1.95445969318127,0.545308537272425,3.58413551153494,0.000338196476475019,0.00131999109606007
"hsa-miR-3929-5p",3.46832186031012,-2.58520680804021,1.01430414620546,-2.54874912787405,0.0108110039209293,0.025262924841002
"hsa-miR-502-3p",215.937782228579,1.34488417185639,0.510677143240801,2.63353116476223,0.00845020803987135,0.0206133862790801
"hsa-miR-561-5p",26.0727886433631,3.44636648089049,0.764081660430468,4.51046878804665,6.46845187198911e-06,3.78698455050999e-05
"hsa-miR-7641-1-3p",317.27235274382,-2.72400828726199,0.790430695675911,-3.44623292359951,0.000568460158490104,0.00194727841525333
"hsa-miR-9-2-3p",11.9716208204523,3.53874683763512,1.01473507502788,3.48736032164643,0.000487813657812589,0.00172610986610609
"hsa-miR-584-5p",694.903704013057,-9.89639621979545,0.690882734204642,-14.3242778113255,1.54323987169118e-46,1.6564107956152e-44
"hsa-miR-500a-3p",389.50284366141,1.62922681947696,0.47409711063764,3.43648333415431,0.000589318608882071,0.00198702190638772
"hsa-miR-200c-3p",76.6912957906447,-2.37955324703288,0.527502472793459,-4.5109802697827,6.45287233802659e-06,3.78698455050999e-05
"hsa-miR-629-5p",483.609631424493,3.44290802354755,0.417352858449074,8.24939365778336,1.59200202332506e-16,3.10681606976163e-15
"hsa-let-7i-5p",9739.88916700115,-6.15877614503552,0.566518149037953,-10.8712777436949,1.57972791494616e-27,5.35444619592277e-26
"hsa-miR-135b-5p",276.382322484998,-7.84187493422179,0.618082663405173,-12.6874209527556,6.94347369966408e-37,5.58949632822959e-35
"hsa-miR-486-1-5p",26.8063666925129,3.46497523840708,0.703308642452849,4.92667803188467,8.36394050045451e-07,5.79180395945452e-06
"hsa-miR-23a-3p",1622.22333891538,-4.45578591701912,0.615238303627484,-7.2423740374218,4.40897869882957e-13,5.91537975426301e-12
"hsa-miR-1273a-5p",9.95367398364593,-2.31192679017695,0.696586074891706,-3.31893914264131,0.000903601198283163,0.0027843022569108
"hsa-miR-548ay-5p",14.0312110303719,2.02263549013089,0.762625585990399,2.65219988325484,0.00799691851091193,0.0195818080647425
"hsa-miR-450a-2-5p",848.920264806523,-1.17227454685641,0.593598452918666,-1.97486118956754,0.0482839027676823,0.0888140259974417
"hsa-miR-21-5p",499714.148095875,-5.28270287195456,0.433665943481123,-12.1815027243072,3.90028550528042e-34,2.09315322116716e-32
"hsa-miR-365b-3p",132.658078596651,-1.14623030013771,0.462853843714855,-2.47644113947092,0.0132699503686023,0.029799938689104
"hsa-let-7f-2-3p",143.410174563761,-3.81828308631939,0.578893437216328,-6.59583066735048,4.22881371224593e-11,4.86313576908282e-10
"hsa-miR-1260b-5p",52.3123941219217,1.4986336177099,0.478209498317885,3.13384326949044,0.00172532983563374,0.00491642661127491
"hsa-miR-129-2-5p",21.6161879015929,1.53860965585732,0.603236549198226,2.55059090484871,0.0107540474698122,0.025262924841002
"hsa-miR-582-3p",122.293802274932,2.28315078965789,0.536541263495927,4.25531258263648,2.08757165098516e-05,0.000111107119275574
"hsa-miR-365a-3p",132.961606126616,-1.14780673353642,0.463891050686032,-2.47430238595673,0.0133496651802559,0.0298513346391834
"hsa-miR-1226-3p",28.2745671446162,1.33933524104839,0.570190792622592,2.34892470797033,0.0188277135415211,0.040149163975959
"hsa-miR-708-3p",82.4776694940897,5.93723094219477,0.823938835887065,7.20591223959319,5.76565301833014e-13,7.57771539551961e-12
"hsa-miR-548e-3p",46.8718412156788,2.22173512432068,0.545999484360999,4.06911579215289,4.71918908962839e-05,0.000231996776619899
"hsa-miR-27a-5p",145.934860965001,-3.70454784345918,0.465554536950694,-7.95728008091889,1.75862318686525e-15,2.98040350616111e-14
"hsa-miR-152-3p",216.263139188984,-1.23839749930192,0.51482534392697,-2.40547112513092,0.0161516283025972,0.0351407048205156
"hsa-miR-937-3p",9.35695269347491,-1.71767245566636,0.757524119550579,-2.26748219803934,0.0233607851825465,0.0482190565947435
"hsa-miR-1285-1-3p",23.7596847903956,1.99545769790548,0.587644822639778,3.39568668186614,0.000684566732314507,0.00223036036715584
"hsa-miR-22-5p",71.490547854552,-2.67434235778715,0.499246449507864,-5.35675789066384,8.47285331768723e-08,6.82064692073822e-07
"hsa-miR-548ab-5p",4.11963812210346,2.46645046137474,1.16882739139699,2.11019221446105,0.0348418028713281,0.0665819615701344
"hsa-miR-3065-5p",16.7878341738469,-1.88918968305263,0.623712646133164,-3.02894240603434,0.00245411463338998,0.00661276076946925
"hsa-miR-548u-3p",30.3198449291049,1.87114819592364,0.617541987417365,3.02999348068462,0.0024455901756743,0.00661276076946925
"hsa-miR-296-5p",14.2263009537708,5.10602932275833,1.28009863323029,3.98877804429289,6.64145264959048e-05,0.000312196752287319
"hsa-miR-1301-3p",106.368202537214,1.16365148305815,0.539382419524509,2.15737747641824,0.0309762647241803,0.0606343905239274
"hsa-miR-301a-5p",69.4120766638101,1.26494156369586,0.47395293062119,2.66891811817253,0.00760959989509567,0.0187045127192428
"hsa-miR-4664-3p",38.5541659658719,-1.75543651883886,0.676221836404937,-2.59594769694432,0.00943304232638413,0.0224995528081162
"hsa-let-7e-5p",2311.3995652172,-1.97703474667009,0.542360022950229,-3.64524423447691,0.000267137979144328,0.00107523036605592
"hsa-miR-574-3p",44.7034480566886,-0.975199736181918,0.494076424810873,-1.97378317849352,0.0484064023681708,0.0888140259974417
"hsa-miR-500a-5p",53.0824090826962,2.31846489159184,0.606557077824545,3.82233589608279,0.000132193451127525,0.000579133214463445
"hsa-miR-383-5p",3.03841638288952,4.94795874364518,2.02972959600718,2.43774281725933,0.0147792846362632,0.0328202045025982
"hsa-miR-3687-2-3p",14.2959992766026,-2.64230576020662,0.765600987044496,-3.45128311603529,0.000557927972382647,0.00192142039686858
"hsa-miR-3613-5p",391.889619080788,1.72479296633901,0.431969612106697,3.99285717790951,6.52818920475989e-05,0.000309128959401865
"hsa-miR-29a-5p",10.6491738745684,-4.29446592667456,0.896232223327197,-4.79168882226938,1.65383270691168e-06,1.08680435025625e-05
"hsa-miR-6500-3p",9.28830470836258,2.19534737182264,0.886593529847762,2.47615992889053,0.0132804074592746,0.029799938689104
"hsa-miR-217-5p",15.8997222096091,1.52650363845576,0.646048868879316,2.36282998390469,0.0181359875706438,0.038931919984982
"hsa-miR-3934-5p",6.15290221539325,-4.29561877532653,1.02672691040607,-4.18379876069249,2.86677906853785e-05,0.000148887558075675
"hsa-miR-24-2-3p",8330.39577037981,-4.10834055968091,0.427870877411369,-9.60182329897396,7.85425382593675e-22,2.1075581099597e-20
"hsa-miR-1268a-5p",9.84727862837885,-2.08485389925767,0.77388905928155,-2.69399583086647,0.00706010478177116,0.0175548551330526
"hsa-miR-522-3p",8.73313796629197,-6.09740687101412,1.32037352033084,-4.61794089106415,3.8756660714325e-06,2.3770751904786e-05
"hsa-miR-375-3p",864.100728831751,-6.35182251480075,0.536627399750451,-11.8365601863687,2.52602161988405e-32,1.25135224861948e-30
"hsa-miR-4497-5p",64.3113816951937,-3.72976705545652,0.567961015523873,-6.5669420145259,5.13590345015082e-11,5.80266986297741e-10
"hsa-miR-598-3p",131.643326632702,6.97148554332729,0.879302756270993,7.92842453137807,2.21943468289921e-15,3.66491265586434e-14
"hsa-miR-25-5p",67.3086685585042,2.27681080172596,0.511902128529193,4.44774630702892,8.67759297820312e-06,4.9896159624668e-05
"hsa-miR-421-3p",226.072759961628,0.935127810116965,0.373884755193587,2.50111243405146,0.0123803866812727,0.0283735552410662
"hsa-miR-93-3p",53.9202999185692,1.68643342880957,0.506038148880808,3.33262113249646,0.000860320100690162,0.00269109293768709
"hsa-miR-5585-3p",6.75324581510568,-2.09548313602621,0.86592479438244,-2.41993663840134,0.0155232116720782,0.0338879603959945
"hsa-miR-98-5p",1175.20366539078,-5.72130984471576,0.512755532383801,-11.1579680439865,6.5470866824308e-29,2.6352023896784e-27
"hsa-let-7a-1-3p",823.832998479185,-3.08122413864992,0.572737164328247,-5.37982224754672,7.45594198959886e-08,6.15408586453732e-07
"hsa-miR-149-5p",140.807782893581,1.0120214577616,0.399274411988789,2.53465142612247,0.011255926719461,0.0261690137448841
"hsa-let-7f-1-3p",55.2727443869753,-7.41775824860569,0.919208003176325,-8.06972766008739,7.04551453787798e-16,1.2603642673315e-14
"hsa-miR-10a-3p",225.678566486172,1.28881356508088,0.385829544693775,3.34037033401315,0.000836667402501663,0.00264124415299545
"hsa-miR-31-5p",1863.02543692132,-2.85605081415991,0.696877997905541,-4.09835125049684,4.16103510136558e-05,0.000207729194207708
"hsa-miR-6868-3p",21.7912529162034,-1.76478764372526,0.634064303644399,-2.78329442862786,0.00538099501897141,0.0135365655946
"hsa-miR-320e-3p",8.2538672353423,-1.40202368425724,0.731479070636899,-1.91669692344923,0.0552764463520815,0.0994358420411746
"hsa-miR-6723-3p",3.49015965712842,-2.35246861425628,1.05016455538721,-2.24009523287415,0.0250847409625077,0.050800544590739
"hsa-let-7b-3p",84.0735953114052,-7.14280967213294,0.754143462788777,-9.47142025964034,2.76064229794586e-21,7.11141455950854e-20
"hsa-miR-4284-5p",26.001726553602,-2.79931364850923,0.923350953855538,-3.03168977821536,0.00243188994912398,0.00660817353264068
"hsa-miR-543-3p",2.37420642584258,-2.8670314269933,1.292286227189,-2.21857307357497,0.0265157831059347,0.0533630135006936
"hsa-miR-218-1-5p",12433.4867385498,2.95375266308125,0.49054944498886,6.02131486082575,1.73005836363367e-09,1.61472113939143e-08
"hsa-miR-21-3p",878.324553174487,-5.49139671242567,0.444101064305566,-12.3651960190919,4.03226474415204e-35,2.36070772293992e-33
"hsa-miR-548d-1-3p",2.81614864925368,4.84651071350015,2.03820275053993,2.37783542987384,0.0174145961438788,0.0377609424803298
"hsa-miR-130b-5p",416.518624401797,1.3489650735325,0.513261322936276,2.62822272641803,0.00858322967996858,0.0208588675996217
"hsa-miR-4286-5p",52.232954459258,1.4155299432348,0.583358856856584,2.42651658854097,0.01524455337961,0.0334114373228582
"hsa-miR-24-1-3p",8458.68963921692,-4.12309470190885,0.42608864579777,-9.67661246684744,3.79068213648551e-22,1.06139099821594e-20
"hsa-miR-7641-2-5p",41.8902000077362,-1.69341164784423,0.512932773104524,-3.30143000532966,0.000961933326924761,0.00292209935160163
"hsa-miR-424-5p",450.331628566322,-2.52209539931781,0.702622076919311,-3.58954761338569,0.000331252325354093,0.00130077132639046
"hsa-miR-652-3p",233.640538384429,1.29370651235669,0.409076316132166,3.16250650878237,0.00156417238916238,0.00449699561884184
"hsa-miR-138-1-5p",11.352717713337,4.7269435869451,1.26936375933875,3.72386839640634,0.000196193225483772,0.000815151207816444
"hsa-miR-128-1-5p",6.3891185111854,2.60573148885915,1.04276810062404,2.49885999322356,0.0124593524098283,0.0284532728791824
"hsa-miR-4683-3p",6.06840896612637,-3.26765724861451,0.90779077892282,-3.59957087523173,0.000318742750705836,0.00125932718683778
"hsa-miR-629-3p",4.33142902241875,3.42165439421699,1.40799920910372,2.43015363367646,0.0150924238242957,0.0332860306261864
"hsa-miR-195-3p",27.9776488669243,1.37910232580993,0.599922805256251,2.29879963509782,0.0215163195534295,0.0449886681571707
"hsa-miR-548x-3p",29.8372745972406,-7.83776246065448,1.21123381442817,-6.47089138966514,9.74264471093984e-11,1.04571053230754e-09
"hsa-miR-585-3p",11.1662853926613,-3.33117809196772,0.7540561485788,-4.41767910552301,9.97663907769028e-06,5.63592593511627e-05
"hsa-let-7c-3p",5.43543326469206,2.18529996143367,0.993411785191846,2.19979266806428,0.0278216084142544,0.0558165601831148
"hsa-miR-3919-3p",3.50927772022817,-4.93162025132841,1.43431009385208,-3.43832220972783,0.000585330764517442,0.0019839632228907
"hsa-miR-218-1-3p",7.72922736060116,4.27679280248393,1.32329087737103,3.23193704091772,0.00122954143090385,0.00363222330964256
"hsa-miR-5100-3p",66.148091022105,2.56576874200599,0.645770660888808,3.97318877645291,7.09168001947252e-05,0.000328564167808655
"hsa-miR-676-3p",14.5869810542927,2.97878141681948,0.814609570673293,3.6566982810642,0.000255484802187095,0.00104134311777525
"hsa-miR-887-3p",3.645518011104,5.11171926267781,2.028398461006,2.520076484451,0.0117329336693757,0.0270925479358572
"hsa-miR-484-5p",814.051561859043,1.40131241751664,0.594908998711168,2.35550717933749,0.0184974395954624,0.0395759172740126
"hsa-miR-3143-5p",3.10836559579331,2.94097973125209,1.4141463368418,2.07968557046235,0.0375543824563966,0.0713422486782284
"hsa-miR-27b-5p",32.7936749434334,-1.77413969819513,0.507254321549373,-3.49753491064628,0.000469579249323908,0.00171353789916856
"hsa-miR-548ag-2-5p",2.4764165852873,4.68312589365363,2.05806903555009,2.27549504548175,0.0228762495571698,0.0473707547100237
"hsa-miR-4467-5p",3.98681037422648,5.26009980612288,2.00382255100749,2.62503274228458,0.00866406352428209,0.0209761537956303
"hsa-miR-216b-5p",11.3253356065693,6.52472605372187,1.90014173051387,3.43381019896728,0.000595160780025798,0.00199626844966987
"hsa-miR-576-5p",51.7717645058595,1.1007467047274,0.526658836567224,2.09005646217216,0.0366127280313541,0.0697591622845919
"hsa-miR-29a-3p",6230.57538261869,-4.97897181301301,0.44739070797582,-11.1289119873319,9.07362319706297e-29,3.43730196406385e-27
"hsa-let-7a-3-3p",823.991727734385,-3.07866392239648,0.572038717876528,-5.38191529032306,7.36974467529289e-08,6.15408586453732e-07
"hsa-miR-140-3p",1046.0998086931,2.73135690829722,0.442907323627156,6.16688133745222,6.96499843637383e-10,6.79614998943143e-09
"hsa-miR-187-3p",7.94857691745514,4.29242859046329,1.31258039880422,3.27022146176626,0.00107463316204564,0.00323394278671679
"hsa-miR-651-5p",47.0662120925439,-7.22598844732525,0.8887349424544,-8.13064514755029,4.27011660762566e-16,7.85701455803121e-15
"hsa-miR-196a-2-5p",301.901708204471,1.81260127750063,0.602024610531971,3.01084249014164,0.0026052395642358,0.00693295156763576
"hsa-miR-1273e-3p",9.81323347691908,-2.18364269416188,0.706476716690326,-3.09089123898056,0.001995567142797,0.00563660192965468
"hsa-miR-1269a-3p",54.4398019092787,-7.95427015659317,0.995732415830704,-7.98836116021913,1.36744352658173e-15,2.38009089491522e-14
"hsa-miR-542-3p",433.930144169794,-0.792504934647067,0.39761717663763,-1.99313556156886,0.0462466048751919,0.0858294338317682
