"","HEK_Pellet_SDPR_1","HEK_Pellet_PRTF_1","HEK_Pellet_CAV_1","HEK_Pellet_PN4.11_1","HEK_Pellet_PRKCA4_1","HEK_Pellet_SDPR_2","HEK_Pellet_PRTF_2","HEK_Pellet_CAV_2","HEK_Pellet_PN4.11_2","HEK_Pellet_PRKCA4_2","HEK_Pellet_SDPR_3","HEK_Pellet_PRTF_3","HEK_Pellet_CAV_3","HEK_Pellet_PN4.11_3","HEK_Pellet_PRKCA4_3"
"hsa-miR-590-3p",379,172,221,214,1,1,156,393,96,511,96,359,144,456,338
"hsa-miR-338-3p",20,3,14,13,0,0,8,24,2,19,6,3,8,9,9
"hsa-let-7f-2-5p",4254,5343,14330,6906,85,126,11980,4927,6704,4470,5537,3018,6420,4453,2981
"hsa-miR-30c-2-3p",172,132,685,436,5,1,479,144,374,236,397,130,391,205,182
"hsa-miR-1254-1-5p",13,8,36,10,0,0,20,12,17,11,30,6,36,20,9
"hsa-miR-590-5p",4,6,18,16,0,0,6,13,5,12,22,10,11,16,12
"hsa-miR-4485-3p",9,6,41,20,1,0,16,11,24,15,5,2,6,1,0
"hsa-miR-1273d-3p",1,1,1,3,0,0,4,0,3,5,3,1,5,2,0
"hsa-miR-9-3-3p",47,27,142,100,0,0,65,44,40,73,35,21,38,63,33
"hsa-miR-8485-3p",9,0,0,11,0,0,0,0,0,1,1,0,0,0,0
"hsa-miR-4510-5p",2,7,23,19,0,0,16,5,7,6,6,1,10,9,2
"hsa-miR-548a-3-3p",1,1,11,8,0,0,4,3,1,6,5,2,4,1,2
"hsa-miR-195-5p",29,30,217,124,0,0,64,54,42,54,24,34,42,45,47
"hsa-miR-3176-3p",11,13,40,29,0,0,21,17,37,23,59,31,55,48,17
"hsa-miR-551b-5p",21,25,63,32,0,0,27,19,25,21,31,9,34,37,10
"hsa-let-7a-2-3p",0,1,0,1,0,0,0,0,0,1,0,2,1,0,0
"hsa-miR-422a-5p",26,66,91,109,0,0,112,56,97,66,77,48,92,55,45
"hsa-miR-4474-3p",11,2,3,9,0,0,8,6,6,3,5,3,8,2,3
"hsa-miR-3653-5p",20,12,17,11,0,0,19,10,14,5,10,1,14,3,6
"hsa-miR-20a-5p",23375,21640,116937,45593,81,191,21336,32910,17049,28756,8356,11973,17959,34026,17784
"hsa-miR-1255a-5p",32,28,22,30,0,0,66,20,40,20,46,22,31,31,21
"hsa-miR-320b-1-3p",851,809,1773,1577,12,8,1858,685,1322,888,826,442,1198,906,798
"hsa-miR-455-3p",26,25,76,56,0,0,40,29,26,33,14,6,42,17,26
"hsa-miR-18b-5p",29,11,58,82,0,1,22,31,19,45,8,31,23,31,49
"hsa-miR-486-2-3p",0,0,11,16,0,0,2,1,0,1,0,0,0,0,0
"hsa-miR-500b-5p",173,108,141,83,1,1,123,91,160,73,133,111,259,244,77
"hsa-miR-3929-3p",6,3,21,14,0,0,5,5,6,4,1,1,10,2,1
"hsa-miR-548ar-3p",7,8,22,8,0,0,10,7,7,17,6,8,13,18,12
"hsa-miR-30d-5p",16328,37583,44956,26662,84,218,35034,27053,40484,18877,12777,7075,28260,22583,11010
"hsa-miR-205-5p",15,17,26,24,7,34,28,11,5,30,4,22,17,0,6
"hsa-miR-1275-5p",10,13,67,75,0,0,47,22,25,42,23,16,22,16,20
"hsa-miR-320d-2-3p",37,22,89,76,6,0,64,26,42,33,30,18,42,36,41
"hsa-miR-573-5p",6,20,14,9,1,0,15,12,10,7,31,22,22,18,14
"hsa-miR-548an-5p",5,3,15,11,0,0,10,6,4,12,1,4,7,2,3
"hsa-miR-204-5p",168,157,107,60,0,0,92,112,90,66,65,19,72,45,28
"hsa-miR-320b-2-3p",985,873,2758,2230,14,13,2524,821,1799,1059,1325,575,1860,1130,899
"hsa-miR-342-3p",266,173,294,202,0,1,343,173,418,211,215,222,413,297,260
"hsa-miR-548h-3-3p",30,44,43,33,0,0,38,27,26,40,33,35,29,57,35
"hsa-miR-24-2-5p",9,7,19,15,0,0,17,8,8,15,10,3,16,14,4
"hsa-miR-29c-5p",39,33,22,21,0,0,36,25,32,52,28,39,51,37,60
"hsa-miR-219a-1-3p",7,28,22,25,0,0,36,20,27,20,32,12,29,10,9
"hsa-miR-664a-5p",2,2,16,10,0,0,12,0,10,3,5,4,5,3,2
"hsa-miR-23b-5p",0,5,10,13,0,0,21,3,4,11,9,2,6,4,1
"hsa-miR-744-3p",35,52,56,55,0,0,40,47,35,42,21,19,21,15,26
"hsa-miR-619-5p",4,2,7,8,0,0,9,8,3,5,3,2,1,2,3
"hsa-let-7d-3p",1,4,3,5,6,5,4,1,5,8,1,3,0,2,3
"hsa-miR-4473-5p",1,5,9,6,0,1,7,0,4,0,11,1,13,5,1
"hsa-miR-502-5p",21,15,24,10,0,0,23,21,30,14,16,11,22,26,5
"hsa-miR-106a-5p",554,480,3316,1278,13,4,601,775,494,690,244,300,562,824,487
"hsa-miR-766-3p",8,7,14,23,0,0,25,8,5,12,9,11,11,13,15
"hsa-miR-1248-5p",35,9,3,9,0,0,13,18,13,16,13,12,12,10,13
"hsa-miR-1271-5p",28,25,110,81,0,0,64,41,65,30,48,5,52,26,22
"hsa-miR-15a-5p",197,86,594,417,2,0,140,277,137,275,102,144,168,243,287
"hsa-miR-1296-5p",278,152,406,389,2,1,377,275,263,379,369,247,354,386,417
"hsa-miR-93-5p",9594,7443,45290,19052,33,51,13302,10948,8458,11634,6101,4335,10580,14294,8922
"hsa-miR-502-3p",330,330,1163,647,0,4,609,279,440,509,499,174,540,408,398
"hsa-miR-3677-3p",2,4,5,9,0,0,6,6,9,6,14,8,16,4,4
"hsa-miR-561-5p",91,67,69,80,0,0,92,108,59,111,89,64,79,80,91
"hsa-miR-151a-5p",304,799,603,823,1,4,871,2516,676,2331,323,842,508,954,1482
"hsa-miR-7641-1-3p",137,72,402,150,3,3,107,57,84,110,267,293,88,68,92
"hsa-miR-9-2-3p",25,7,110,57,0,0,34,17,19,30,24,10,26,24,22
"hsa-miR-130a-5p",12,1,1,0,0,0,4,3,1,6,5,6,7,6,25
"hsa-miR-584-5p",5,2,7,1,10,3,6,1,5,6,7,5,0,2,3
"hsa-miR-423-5p",2642,2320,4920,4295,16,19,5817,2177,4393,3640,2774,1713,3313,3658,2816
"hsa-miR-500a-3p",676,695,2069,1032,8,4,1253,535,1050,759,958,266,1107,667,517
"hsa-miR-200c-3p",15,24,76,33,0,3,23,19,17,16,63,8,55,23,7
"hsa-miR-629-5p",909,1919,2246,1356,3,10,2065,1181,1551,1006,2542,879,1777,1148,914
"hsa-let-7i-5p",192,232,719,485,25,44,680,256,437,266,516,220,555,316,216
"hsa-miR-135b-5p",5,1,11,1,0,1,0,2,0,6,1,0,1,1,1
"hsa-miR-548ad-5p",9,12,29,29,0,0,12,21,10,25,5,8,6,15,10
"hsa-miR-486-1-5p",41,77,161,114,0,0,141,70,133,50,27,12,70,29,39
"hsa-miR-330-3p",252,322,459,278,2,3,362,264,390,241,462,142,506,440,117
"hsa-miR-23a-3p",164,100,528,246,27,22,277,105,167,179,259,122,237,162,171
"hsa-miR-1273a-5p",1,5,11,7,0,0,6,5,11,4,7,2,4,3,1
"hsa-miR-7976-5p",9,17,27,27,0,0,26,14,12,15,25,5,28,17,7
"hsa-miR-374b-3p",121,130,131,92,0,0,150,123,109,232,142,111,168,214,111
"hsa-miR-5683-5p",10,12,4,4,0,0,10,2,5,6,7,3,12,9,6
"hsa-miR-548ay-5p",22,27,89,56,0,0,48,38,24,45,14,17,16,28,35
"hsa-miR-450a-2-5p",1259,1316,1004,919,1,3,725,1235,729,2100,418,362,596,982,768
"hsa-miR-628-5p",25,17,69,54,0,0,34,27,25,31,31,19,38,26,21
"hsa-miR-21-5p",47334,84935,44052,30581,861,1691,43029,39841,41472,38154,54034,20501,51231,38139,26084
"hsa-miR-365b-3p",286,72,241,156,0,1,182,101,130,212,113,132,154,145,128
"hsa-let-7f-2-3p",47,31,34,39,0,1,24,47,18,47,23,14,19,47,23
"hsa-miR-1260b-5p",71,64,217,300,0,0,180,90,105,191,138,178,155,139,164
"hsa-miR-6747-3p",27,103,46,46,0,0,55,54,56,30,16,2,9,39,11
"hsa-miR-181d-5p",437,293,500,158,3,3,325,463,164,373,89,40,177,209,233
"hsa-miR-129-2-5p",36,152,60,46,1,0,76,58,56,60,66,34,63,42,33
"hsa-miR-582-3p",282,734,353,277,7,0,462,272,477,420,480,193,506,393,340
"hsa-miR-1307-3p",1067,1701,3943,3058,0,9,3086,1569,2535,1918,2822,548,2925,1690,813
"hsa-miR-365a-3p",286,72,242,156,0,1,182,101,130,212,113,132,154,145,130
"hsa-miR-3691-5p",2,8,8,8,0,0,27,4,8,4,4,7,12,5,10
"hsa-miR-1226-3p",39,37,105,50,0,0,74,49,82,45,51,45,87,68,43
"hsa-miR-1273c-3p",14,17,27,22,0,0,34,15,16,12,21,1,20,13,3
