"","HEK_Exosome_PRTF_1","HEK_Exosome_SDPR_1","HEK_Exosome_CAV_1","HEK_Exosome_PN4.11_1","HEK_Exosome_PRKCA4_1","HEK_Exosome_PRTF_2","HEK_Exosome_SDPR_2","HEK_Exosome_CAV_2","HEK_Exosome_PN4.11_2","HEK_Exosome_PRKCA4_2","HEK_Exosome_PRTF_3","HEK_Exosome_SDPR_3"
"hsa-miR-590-3p",12,27,30,28,18,6,11,3,9,7,1,0
"hsa-let-7f-2-5p",644,1017,279,1693,313,322,314,95,535,538,36,53
"hsa-miR-30c-2-3p",23,32,3,31,5,6,2,0,27,24,0,1
"hsa-miR-1254-1-5p",30,16,6,19,16,7,11,4,7,22,0,1
"hsa-miR-4485-3p",6,12,1,17,1,6,1,0,21,7,0,8
"hsa-miR-1273d-3p",31,30,1,23,8,23,3,1,10,14,0,0
"hsa-miR-9-3-3p",107,89,4,60,29,14,5,2,9,15,1,1
"hsa-miR-8485-3p",19,0,1,39,0,53,0,0,37,35,0,8
"hsa-miR-548a-3-3p",5,13,0,7,1,7,1,0,3,4,0,0
"hsa-miR-195-5p",15,13,2,24,0,3,0,1,0,3,0,0
"hsa-miR-3176-3p",31,10,4,29,3,5,7,2,4,12,0,0
"hsa-let-7a-2-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-422a-5p",45,26,22,23,25,13,8,1,7,17,0,0
"hsa-miR-4474-3p",15,4,3,11,7,1,0,1,1,1,0,0
"hsa-miR-3135b-3p",26,20,3,11,7,21,3,0,7,10,0,1
"hsa-miR-20a-5p",17499,17476,4824,23259,5707,15078,2997,1115,6974,15157,94,161
"hsa-miR-320b-1-3p",1299,765,1224,731,1689,224,398,159,91,276,9,51
"hsa-miR-3929-3p",83,124,5,51,6,64,2,2,43,70,0,1
"hsa-miR-30d-5p",2867,1661,1003,2906,1399,867,315,145,936,1094,108,57
"hsa-miR-205-5p",4,11,0,51,2,1,0,12,2,9,4,7
"hsa-miR-320d-2-3p",301,167,151,232,159,55,55,18,10,50,0,8
"hsa-miR-548an-5p",36,9,4,14,8,5,0,1,1,2,0,0
"hsa-miR-204-5p",6,11,7,8,3,1,1,0,0,0,0,1
"hsa-miR-320b-2-3p",1423,868,1282,878,1747,280,414,172,157,361,11,55
"hsa-miR-342-3p",25,43,25,74,14,25,18,1,20,26,1,1
"hsa-miR-548h-3-3p",15,16,9,14,12,4,10,3,4,11,0,0
"hsa-miR-24-2-5p",3,2,2,7,1,0,1,1,0,2,0,0
"hsa-miR-29c-5p",0,1,0,1,2,0,0,0,0,0,0,0
"hsa-miR-664a-5p",4,2,2,5,1,2,3,0,0,1,0,0
"hsa-miR-744-3p",7,10,12,12,13,8,2,0,1,9,0,0
"hsa-miR-619-5p",24,41,1,29,8,25,5,3,17,18,1,2
"hsa-let-7d-3p",8,5,3,2,2,0,0,1,1,2,0,0
"hsa-miR-106a-5p",488,531,118,707,140,430,66,27,197,395,2,3
"hsa-miR-1271-5p",21,15,4,31,2,13,7,0,2,9,0,1
"hsa-miR-15a-5p",165,114,11,104,22,18,9,2,11,22,0,2
"hsa-miR-1296-5p",25,19,28,21,31,3,18,5,4,7,0,1
"hsa-miR-5684-3p",9,16,0,9,2,10,5,1,7,9,0,0
"hsa-miR-93-5p",7912,8812,1497,9380,1750,4789,1442,303,2746,5165,44,67
"hsa-miR-3929-5p",8,14,2,6,2,16,2,0,7,7,0,0
"hsa-miR-502-3p",925,873,266,615,312,118,105,16,56,131,0,7
"hsa-miR-561-5p",21,5,13,22,34,8,20,1,10,2,0,1
"hsa-miR-151a-5p",31,16,48,160,111,7,58,15,12,21,2,7
"hsa-miR-7641-1-3p",100,223,38,255,73,460,47,18,476,218,0,24
"hsa-miR-9-2-3p",26,22,4,22,9,6,1,1,4,4,1,0
"hsa-miR-584-5p",5,10,1,9,0,2,1,1,1,2,1,0
"hsa-miR-423-5p",1256,936,1138,806,1545,293,537,203,126,370,16,44
"hsa-miR-500a-3p",956,990,298,720,377,144,126,19,63,150,3,7
"hsa-miR-200c-3p",9,12,13,66,12,11,6,1,6,3,2,14
"hsa-miR-629-5p",4882,3132,1642,2872,2625,580,686,174,365,542,2,25
"hsa-let-7i-5p",216,173,46,346,36,65,46,30,52,78,12,6
"hsa-miR-135b-5p",0,0,0,1,0,0,0,0,0,0,0,0
"hsa-miR-548ad-5p",49,28,9,39,17,16,14,0,3,18,0,0
"hsa-miR-486-1-5p",103,60,32,62,42,8,19,4,18,15,0,0
"hsa-miR-330-3p",48,56,39,55,60,33,36,11,23,49,2,5
"hsa-miR-23a-3p",83,135,30,112,24,23,17,12,21,41,1,2
"hsa-miR-1273a-5p",51,44,9,54,19,31,26,3,27,58,3,3
"hsa-miR-374b-3p",4,13,0,13,15,0,2,1,9,1,1,1
"hsa-miR-548ay-5p",71,40,21,62,28,28,19,0,11,39,0,2
"hsa-miR-450a-2-5p",75,52,68,62,150,15,52,12,9,14,0,21
"hsa-miR-628-5p",9,12,6,5,4,8,1,0,3,1,0,0
"hsa-miR-21-5p",4867,6170,3168,12937,4029,1214,2371,1151,1575,2257,315,1248
"hsa-miR-365b-3p",36,35,7,19,17,7,2,0,1,3,0,0
"hsa-miR-1973-3p",0,1,1,0,0,1,0,0,0,0,0,0
"hsa-let-7f-2-3p",9,3,18,1,18,1,1,3,1,1,0,0
"hsa-miR-1260b-5p",12,12,4,8,1,3,1,1,11,7,1,0
"hsa-miR-6747-3p",17,8,1,9,2,2,1,0,2,4,0,0
"hsa-miR-181d-5p",96,92,41,51,61,23,27,3,6,27,0,6
"hsa-miR-129-2-5p",134,71,56,34,105,18,13,12,6,13,0,0
"hsa-miR-582-3p",41,52,49,62,63,16,32,12,8,26,2,3
"hsa-miR-1307-3p",575,394,415,366,574,136,155,55,137,157,5,31
"hsa-miR-365a-3p",36,35,7,19,17,7,2,0,1,3,0,0
"hsa-miR-1226-3p",4,4,3,8,6,1,1,0,13,5,0,0
"hsa-miR-1273c-3p",13,12,12,5,13,7,6,2,2,5,0,0
"hsa-miR-708-3p",77,33,58,45,72,9,14,14,11,21,0,6
"hsa-miR-10b-3p",152,109,4,55,13,8,10,2,9,25,0,1
"hsa-miR-18a-3p",45,38,9,33,19,12,2,4,6,7,0,1
"hsa-miR-548e-3p",153,121,41,103,45,62,28,13,15,52,0,1
"hsa-miR-27a-5p",2,9,2,49,4,5,2,0,8,9,0,0
"hsa-miR-320c-1-3p",801,450,498,464,624,118,130,60,37,126,3,19
"hsa-miR-152-3p",436,369,61,431,102,69,35,9,28,54,0,3
"hsa-miR-937-3p",13,3,5,4,1,0,1,0,3,0,0,0
"hsa-miR-6126-5p",1,4,1,1,3,3,0,1,1,2,0,6
"hsa-miR-574-5p",39,53,84,31,119,3,30,6,0,5,1,2
"hsa-miR-760-3p",170,127,132,110,237,22,22,19,12,43,0,6
"hsa-miR-1285-1-3p",33,36,19,48,21,10,15,2,15,16,0,2
"hsa-miR-148a-3p",47900,45729,38130,39430,59973,6094,11338,4988,1221,4484,188,2415
"hsa-miR-99b-5p",3597,2109,681,1708,1177,414,266,82,436,589,13,68
"hsa-miR-935-3p",4,4,3,4,7,3,2,1,1,1,1,1
"hsa-miR-22-5p",24,31,8,7,21,10,18,5,8,14,0,2
