"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-590-3p",140.939274114796,0.582597488260382,0.662797329721684,0.878997941203265,0.379402392126979,0.9999613829802
"hsa-miR-338-3p",4.10536750973341,0.674072266838247,0.811549158180743,0.830599428319686,0.406199957813944,0.9999613829802
"hsa-let-7f-2-5p",2558.99438524081,0.0564475128565946,0.395531540025694,0.14271305103236,0.886516808996024,0.9999613829802
"hsa-miR-133a-1-3p",0.421604665894447,0.167773299177317,0.628769202416334,0.26682811202039,0.789601508462455,0.9999613829802
"hsa-miR-4474-5p",0.196074615759098,0.201101433957922,0.576772566753116,0.348666780547492,0.727339486291314,0.9999613829802
"hsa-miR-30c-2-3p",145.117491838855,-0.0832843674980094,0.431602375337196,-0.192965498470536,0.846985988461851,0.9999613829802
"hsa-miR-1254-1-5p",5.24726210364679,-0.239302988142569,0.761407873961952,-0.314290141100547,0.753300685405303,0.9999613829802
"hsa-miR-520e-3p",0.0805152808987378,-0.0369660549232365,0.552368499749902,-0.0669228150047909,0.946643150004793,0.9999613829802
"hsa-miR-3198-2-3p",0.0688905185492066,-0.0227347317953234,0.548431327195315,-0.0414541085965842,0.966933877415197,0.9999613829802
"hsa-miR-6888-3p",0.88809350958991,0.489082258906941,0.825693456162957,0.592329096538724,0.553630235493126,0.9999613829802
"hsa-miR-2467-5p",0.621944892811516,-0.137522778317298,0.800108479528176,-0.171880166047478,0.863531739721241,0.9999613829802
"hsa-miR-590-5p",4.88436112780512,0.213169576739002,0.785039897682135,0.27153979991131,0.785975893222073,0.9999613829802
"hsa-miR-4485-3p",11.6170714483402,0.165852618637136,0.837138258007397,0.198118550968997,0.84295231093001,0.9999613829802
"hsa-miR-1273d-3p",0.921814555124132,0.0419934598750758,0.791190013030406,0.0530763270307634,0.957671093152954,0.9999613829802
"hsa-miR-215-3p",0.756362722159606,0.278453179473351,0.769564079801286,0.361832350004241,0.717477315979007,0.9999613829802
"hsa-miR-3680-1-3p",0.0805152808987378,-0.0369660549232365,0.552368499749902,-0.0669228150047909,0.946643150004793,0.9999613829802
"hsa-miR-6764-5p",0.176364127124595,0.236413244426608,0.574259111647218,0.411683923914547,0.680571109623277,0.9999613829802
"hsa-miR-6824-3p",0.0743396121772664,0.419386542552489,0.545842660848562,0.768328627704757,0.442291970980338,0.9999613829802
"hsa-miR-9-3-3p",23.1488124043446,-0.0901298602390335,0.600760421828774,-0.150026294949107,0.88074386967257,0.9999613829802
"hsa-miR-6854-3p",0.0805152808987378,-0.0369660549232365,0.552368499749902,-0.0669228150047909,0.946643150004793,0.9999613829802
"hsa-miR-8485-3p",0.74319232708385,-0.203534679313149,0.596442623196518,-0.341247710001584,0.732917109081018,0.9999613829802
"hsa-miR-3127-3p",1.10010284671618,0.301181548833311,0.833190331738834,0.361479889240623,0.717740736152609,0.9999613829802
"hsa-miR-4510-5p",3.03931855373787,-0.735158498231126,0.815293254920877,-0.901710511885042,0.367210667485905,0.9999613829802
"hsa-miR-548a-3-3p",1.31300048034614,0.278441846132546,0.827604530398398,0.336443114924114,0.736536741420392,0.9999613829802
"hsa-miR-3679-5p",2.05877903082603,-0.551243334118995,0.8367059168812,-0.658825667414592,0.510007722928377,0.9999613829802
"hsa-miR-195-5p",23.5020114562843,-0.0928862147635035,0.629492593273216,-0.147557279872852,0.882692171659974,0.9999613829802
"hsa-miR-6894-5p",0.0608047922642349,-0.0114769975170596,0.545193433770743,-0.0210512394430006,0.983204781551775,0.9999613829802
"hsa-miR-3176-3p",11.8513414178261,-0.510371382189672,0.658347192184217,-0.77523134942886,0.438202966832378,0.9999613829802
"hsa-miR-588-5p",0.758999354816518,0.145211584674679,0.819916460700696,0.177105341379025,0.859425646436749,0.9999613829802
"hsa-miR-3677-5p",0.795201372998573,-0.671985276791129,0.74843986967101,-0.897848049017634,0.369266564345565,0.9999613829802
"hsa-miR-548ba-3p",1.15970532690031,1.18981049370437,0.832602287096908,1.42902621352742,0.152996699293639,0.9999613829802
"hsa-miR-551b-5p",9.36380691376518,-0.595548830250145,0.67414450543992,-0.883414201917307,0.377012520286655,0.9999613829802
"hsa-let-7a-2-3p",0.135144404441501,0.189794691656681,0.569187159546742,0.333448653001623,0.73879564261932,0.9999613829802
"hsa-miR-4663-5p",0.0688905185492066,-0.0227347317953234,0.548431327195315,-0.0414541085965842,0.966933877415197,0.9999613829802
"hsa-miR-422a-5p",27.845027577921,-0.278267012110926,0.522570515871966,-0.532496579235065,0.594382110408507,0.9999613829802
"hsa-miR-1302-10-5p",0.154854893076004,0.154026342905953,0.572332038326123,0.26912060236297,0.78783687671214,0.9999613829802
"hsa-miR-3175-5p",0.449414987717872,0.146438186304015,0.628712206700402,0.232917676392113,0.815825332119262,0.9999613829802
"hsa-miR-3115-5p",0.540828455872729,0.35786116373181,0.663852381106036,0.539067379912959,0.589840362708922,0.9999613829802
"hsa-miR-7109-3p",0.0688905185492066,-0.0227347317953234,0.548431327195315,-0.0414541085965842,0.966933877415197,0.9999613829802
"hsa-miR-3122-5p",0.300009188269927,0.316565577205713,0.584547427590636,0.541556702268831,0.588123926034678,0.9999613829802
"hsa-miR-4474-3p",1.69131364458371,-0.214444401635607,0.83660975014171,-0.256325487001894,0.797699518705109,0.9999613829802
"hsa-miR-4536-1-3p",0.0743396121772664,0.419386542552489,0.545842660848562,0.768328627704757,0.442291970980338,0.9999613829802
"hsa-miR-4795-5p",0.11555933486036,0.445507442188457,0.557035607270055,0.799782700376767,0.42383670784016,0.9999613829802
"hsa-miR-3653-5p",2.93991988734018,-0.176983385550506,0.822161063649825,-0.215266075438823,0.829559877467533,0.9999613829802
"hsa-miR-3135b-3p",0.410706478638328,-0.114861240782328,0.624924233749608,-0.183800266622962,0.854170146966523,0.9999613829802
"hsa-miR-1227-3p",1.75516762902187,0.158268439120071,0.831659018431013,0.190304482501321,0.849070541311279,0.9999613829802
"hsa-miR-7854-5p",0.552026551801301,-0.356395437908217,0.753169758408334,-0.473194036177692,0.636074752211,0.9999613829802
"hsa-miR-4734-3p",0.698921137645695,-0.22550885635229,0.806696021259693,-0.279546260808561,0.779825641408503,0.9999613829802
"hsa-miR-1255b-2-5p",0.484765011753153,-0.247493462557027,0.591744468774678,-0.41824381234946,0.675768865890098,0.9999613829802
