miRNAs	PC3_Pellet_GFP_4.3	PC3_Pellet_CAV1_4.3	PC3_Pellet_CAV2_4.3	PC3_Pellet_CAV3_4.3	PC3_Pellet_GFP_23.3	PC3_Pellet_CAV1_23.3	PC3_Pellet_CAV2_23.3	PC3_Pellet_CAV3_23.3	PC3_Pellet_GFP_6.3	PC3_Pellet_CAV1_6.3	PC3_Pellet_CAV2_6.3	PC3_Pellet_CAV3_23.3F			
hsa-miR-590-3p	33	40	6	18	22	16	20	36	51	32	67	51			
hsa-miR-338-3p	0	0	0	0	1	1	3	0	3	1	2	0			
hsa-miR-513a-1-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-6738-5p	0	0	0	0	0	0	1	1	0	0	0	0			
hsa-let-7f-2-5p	11588	36373	16814	23901	85004	18569	44178	12905	24395	12836	15756	16701			
hsa-miR-133a-1-3p	0	0	0	0	2	1	0	1	1	1	0	0			
hsa-miR-4474-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-30c-2-3p	21	46	58	35	121	46	143	23	23	10	28	28			
hsa-miR-5585-5p	1	0	1	0	0	0	0	0	0	0	0	0			
hsa-miR-1254-1-5p	11	12	4	14	5	7	10	6	3	6	5	2			
hsa-miR-520e-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-6073-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-3198-2-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-6888-3p	0	3	0	1	1	3	1	2	1	0	1	1			
hsa-miR-2467-5p	1	0	0	0	1	1	1	2	1	0	0	0			
hsa-miR-590-5p	3	1	0	0	0	0	0	0	0	0	2	1			
hsa-miR-6811-5p	0	1	0	0	2	0	4	0	0	0	1	0			
hsa-miR-4485-3p	1	8	4	18	15	19	30	24	28	3	34	3			
hsa-miR-4706-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-1273d-3p	2	13	4	8	6	3	4	3	12	4	9	9			
hsa-miR-215-3p	0	0	0	1	0	0	0	0	0	0	0	0			
hsa-miR-3680-1-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-890-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-6764-5p	0	0	0	0	0	0	1	0	0	0	0	0			
hsa-miR-548as-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-6824-3p	0	0	0	0	0	0	1	0	1	0	0	1			
hsa-miR-3690-1-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-9-3-3p	3	2	1	2	7	4	7	3	2	2	3	3			
hsa-miR-6854-3p	0	0	0	0	0	0	0	1	3	1	0	0			
hsa-miR-8485-3p	0	0	9	7	0	0	19	0	0	9	0	0			
hsa-miR-7109-5p	0	0	0	0	0	1	0	0	0	0	0	0			
hsa-miR-3127-3p	0	0	0	0	4	0	0	0	1	0	0	0			
hsa-miR-510-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-7107-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-4510-5p	0	2	0	0	4	0	1	0	0	0	0	0			
hsa-miR-548a-3-3p	1	0	0	1	7	0	0	1	2	0	0	0			
hsa-miR-3679-5p	0	1	0	2	0	0	0	0	1	1	0	1			
hsa-miR-548m-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-195-5p	2	8	2	5	50	5	14	4	7	1	4	9			
hsa-miR-5693-3p	0	0	0	0	0	0	0	1	0	0	0	0			
hsa-miR-544b-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-548i-4-3p	0	0	0	0	1	0	0	0	0	0	0	0			
hsa-miR-6894-5p	0	0	0	0	1	0	0	0	0	0	0	0			
hsa-miR-6798-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-622-3p	0	0	0	0	1	0	0	0	0	0	0	0			
hsa-miR-1270-5p	0	5	0	0	0	0	3	0	1	5	0	3			
hsa-miR-3176-3p	1	1	0	0	1	1	1	2	2	1	0	0			
hsa-miR-588-5p	1	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-3677-5p	2	1	0	0	0	0	1	1	2	0	3	3			
hsa-miR-548ba-3p	0	0	0	0	0	0	0	0	2	1	0	0			
hsa-miR-4636-5p	1	0	0	0	0	0	0	0	1	0	0	0			
hsa-miR-136-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-6510-5p	0	0	0	0	0	0	1	0	0	0	0	0			
hsa-miR-551b-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-let-7a-2-3p	12	47	17	33	25	35	22	32	43	15	61	38			
hsa-miR-4663-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-422a-5p	9	28	15	13	17	16	18	16	15	11	15	21			
hsa-miR-4662b-5p	0	0	0	0	0	0	0	1	0	0	0	0			
hsa-miR-1302-10-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-3175-5p	0	0	0	0	0	0	0	1	0	0	0	0			
hsa-miR-3115-5p	0	1	0	1	0	0	0	1	0	0	0	0			
hsa-miR-548i-3-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-7109-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-5194-3p	0	0	0	0	0	0	0	0	0	0	1	0			
hsa-miR-1911-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-3122-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-4474-3p	0	0	0	1	1	0	0	0	0	0	1	0			
hsa-miR-4536-1-3p	0	0	0	0	0	0	0	0	0	0	1	0			
hsa-miR-6848-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-4795-5p	0	0	0	0	0	0	1	0	0	0	0	0			
hsa-miR-3653-5p	5	5	7	9	12	10	7	4	11	5	2	6			
hsa-miR-1287-3p	0	0	1	0	0	0	0	1	0	0	0	0			
hsa-miR-3135b-3p	0	3	0	3	6	1	4	1	11	2	4	1			
hsa-miR-3670-4-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-4327-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-1227-3p	0	1	0	1	1	1	0	0	1	0	0	0			
hsa-miR-7854-5p	1	3	0	1	2	2	1	1	2	2	2	1			
hsa-miR-548au-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-4734-3p	0	0	1	0	0	1	0	1	0	0	0	0			
hsa-miR-5188-3p	0	0	0	0	0	0	1	0	0	0	0	0			
hsa-miR-1255b-2-5p	0	2	0	0	1	0	0	0	0	0	0	0			
hsa-miR-448-3p	0	0	0	0	0	0	0	0	0	0	1	0			
hsa-miR-3116-1-5p	0	0	1	0	0	0	0	0	0	0	0	0			
hsa-miR-20a-5p	4590	3297	819	1275	16200	2601	6703	1924	4996	2435	3030	3244			
hsa-miR-2909-3p	0	0	0	0	0	0	0	0	0	0	0	0			
