"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-363-3p",22.3276929631849,-1.89067009278642,0.476493330395553,-3.96788364533227,7.25137202813523e-05,0.0997063653868594
"hsa-miR-20a-5p",4640.78668040954,-1.06732809517851,0.38241372268862,-2.79102979797505,0.00525406350121779,0.999139751094906
"hsa-miR-205-5p",13765.253267531,-0.708433897421144,0.349784098682343,-2.02534620667393,0.042831826975047,0.999139751094906
"hsa-miR-106a-5p",116.009098807197,-0.87548494470706,0.414541152141153,-2.11193735576089,0.0346918227699228,0.999139751094906
"hsa-miR-7641-1-3p",155.594733262295,-1.25507481196262,0.460370332945212,-2.7262286949146,0.00640625942001499,0.999139751094906
"hsa-miR-629-5p",62.2270415077071,0.787132756032075,0.392172678096525,2.00710758294676,0.0447382089904401,0.999139751094906
"hsa-miR-574-5p",95.0278969019669,1.11059351749203,0.411413420064438,2.69945865479565,0.00694523850126032,0.999139751094906
"hsa-miR-19a-3p",364.91191056387,-0.963040627695269,0.416962092235892,-2.30965990824518,0.0209069900669368,0.999139751094906
"hsa-miR-424-5p",230.660896114031,-1.18566446396071,0.445260290699561,-2.66285695968505,0.00774803422220654,0.999139751094906
"hsa-miR-1246-5p",102.781210246554,1.05670074705064,0.420070971743226,2.51552908468181,0.0118853870252462,0.999139751094906
"hsa-miR-203a-3p",1120.80756322202,-1.0272802979341,0.404389402794875,-2.54032447644327,0.0110749667910482,0.999139751094906
"hsa-miR-19b-2-3p",721.180646887047,-0.855476418546344,0.382734337790783,-2.23517028413056,0.0254061715640843,0.999139751094906
"hsa-miR-19b-1-3p",720.854298506558,-0.854742090504799,0.382708123820519,-2.23340461647909,0.0255222740303701,0.999139751094906
"hsa-miR-20b-5p",17.2157123441005,-1.01794099329899,0.464046594123709,-2.19361806807619,0.0282628783853607,0.999139751094906
"hsa-miR-125b-1-3p",180.277363063308,0.807248186594684,0.372699913510142,2.16594680420476,0.0303152521576287,0.999139751094906
"hsa-miR-18a-5p",51.2438226206173,-0.838971390664593,0.415640391171317,-2.01850303407782,0.0435388984951069,0.999139751094906
"hsa-miR-7641-2-3p",329.918586766946,-1.1139898531772,0.410131046349746,-2.71618026260619,0.00660399498308114,0.999139751094906
"hsa-miR-146a-5p",32.3873976448092,-0.905570981588856,0.456528400949348,-1.98360272812322,0.0473001448464245,0.999139751094906
"hsa-miR-17-5p",1365.69145295821,-0.894631632821362,0.409559239315076,-2.18437663454375,0.0289345837069777,0.999139751094906
"hsa-miR-125b-2-3p",37.7289231274863,-0.943271746406941,0.445986642031426,-2.11502241885638,0.0344280366049898,0.999139751094906
