,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-363-3p,23.60630026,-1.97237435,0.558535097,-3.531334665,0.000413468,0.579269025
hsa-miR-20a-5p,4365.902645,-1.423264411,0.446118574,-3.190327627,0.001421116,0.68026939
hsa-miR-210-3p,472.5392878,1.059041357,0.335699026,3.154734676,0.001606441,0.68026939
hsa-miR-17-5p,1234.695492,-1.43781204,0.463971177,-3.098925349,0.00194224,0.68026939
hsa-miR-106a-5p,104.5801078,-1.42393002,0.471616515,-3.019253935,0.00253398,0.710021313
hsa-miR-203a-3p,1117.907531,-1.187983336,0.413633591,-2.872066875,0.004077967,0.751950072
hsa-miR-20b-5p,15.56063924,-1.613973464,0.565170035,-2.855730776,0.004293791,0.751950072
hsa-miR-125b-2-3p,36.64134686,-1.306010802,0.44367708,-2.943606644,0.00324412,0.751950072
hsa-miR-205-5p,12958.0253,-0.985911529,0.393163673,-2.50763638,0.012154167,0.864199764
hsa-miR-3607-5p,1.438543606,-1.170149741,0.567786421,-2.060897719,0.039312799,0.864199764
hsa-miR-561-5p,5.164672432,1.190846789,0.599296949,1.987073005,0.046914307,0.864199764
hsa-miR-18a-3p,12.11678226,-1.260553572,0.53407497,-2.360255848,0.018262335,0.864199764
hsa-miR-19a-3p,367.1014949,-1.046001395,0.467817622,-2.235917044,0.025357206,0.864199764
hsa-miR-424-5p,245.0870758,-1.071843729,0.521391466,-2.055737,0.039807873,0.864199764
hsa-miR-1303-5p,14.41910269,-1.371327059,0.572559527,-2.395082072,0.016616645,0.864199764
hsa-miR-222-3p,6109.624188,0.913678377,0.416337282,2.194562956,0.028194963,0.864199764
hsa-miR-221-5p,590.322249,0.897881667,0.395937222,2.267737451,0.023345214,0.864199764
hsa-miR-125b-1-3p,206.0631117,1.068190141,0.439977116,2.427831138,0.015189414,0.864199764
hsa-miR-18a-5p,51.4641284,-0.9244797,0.468236278,-1.97438717,0.048337736,0.864199764
hsa-miR-449a-5p,1.544456745,-1.174124847,0.567974656,-2.067213447,0.038714046,0.864199764
hsa-miR-4532-5p,25.51000491,-1.349446943,0.557670046,-2.419794561,0.015529278,0.864199764
hsa-miR-424-3p,468.0973763,-0.874249142,0.407894411,-2.143322191,0.032087236,0.864199764
hsa-miR-3195-5p,28.40037026,-1.296232669,0.544636297,-2.379996848,0.017312786,0.864199764
