"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7d-3p",50.1246273293538,-1.89696160668715,0.704322333143653,-2.69331457689308,0.00707454843027592,0.998826941402398
"hsa-miR-151a-5p",268.553589783313,0.892218839461334,0.448456058744445,1.98953458664223,0.0466422281616246,0.998826941402398
"hsa-miR-7641-1-3p",85.3614443068215,-1.24869297239592,0.521903480030129,-2.39257452800245,0.0167306298252943,0.998826941402398
"hsa-miR-584-5p",31.1006103442741,-1.83013112920635,0.710656513312794,-2.5752682131555,0.0100162381764284,0.998826941402398
"hsa-let-7i-5p",580.29969541949,-1.6621288015321,0.659101422377397,-2.52181036954336,0.0116752628494613,0.998826941402398
"hsa-miR-23a-3p",292.943005090802,-1.74987621934652,0.644585586707765,-2.71473060433145,0.00663297026836154,0.998826941402398
"hsa-miR-21-5p",33305.2586746841,-1.39985532304881,0.536544191863243,-2.60902148281126,0.00908015417128724,0.998826941402398
"hsa-miR-21-3p",103.874761952293,-1.41141119212221,0.620904087564524,-2.27315493711504,0.0230168447845629,0.998826941402398
"hsa-miR-27a-3p",869.637998361375,-1.18453362239733,0.589789409035632,-2.00840097202519,0.0446006996996583,0.998826941402398
"hsa-miR-1246-5p",269.089419059115,-1.49800479757132,0.684317565388867,-2.18904916859772,0.0285932665042901,0.998826941402398
"hsa-miR-203a-3p",103.956988077236,-2.10586569807359,0.709682065996018,-2.96733678216607,0.00300391724318394,0.998826941402398
"hsa-miR-7641-2-3p",302.494108086263,-1.23015943173501,0.624353039190008,-1.97029461621735,0.0488046151065496,0.998826941402398
"hsa-miR-3182-5p",59.0651563756425,-1.06818541027713,0.516646931882554,-2.06753460508299,0.038683806911514,0.998826941402398
"hsa-miR-200a-5p",20.0406790173619,-1.38902553551311,0.69021099966771,-2.01246508123145,0.0441709340222026,0.998826941402398
