"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-10b-5p",2335.00030527451,-2.49329866970616,0.383530425107028,-6.50091493787067,7.98329657462635e-11,1.13841809154172e-07
"hsa-miR-934-5p",67.9871478900147,2.26146946427042,0.445135341802021,5.08040870247555,3.76623705575574e-07,0.000268532702075384
"hsa-miR-363-3p",18.9584189245724,-3.14525749740496,0.70949815624831,-4.4330735319123,9.28991646546806e-06,0.00441580695991915
"hsa-miR-125b-2-3p",28.2561012372872,-2.1858670425588,0.553077689762499,-3.95218806149539,7.7439842116513e-05,0.0276073037145369
"hsa-miR-424-3p",348.052580507186,-1.7438549897,0.447954562839909,-3.89292828862917,9.90414359676148e-05,0.0282466175379637
"hsa-miR-203a-3p",902.160156528393,-1.68942958068294,0.479336467393114,-3.52451710981006,0.000424255414957173,0.100831370288155
"hsa-miR-221-3p",7286.54856873725,1.41615017899039,0.426926421334032,3.31708254215164,0.000909627385512584,0.185304093105849
"hsa-miR-654-3p",3.04004506176416,2.5174071376756,0.770688483417346,3.26643928362994,0.00108909159810879,0.194130577362893
"hsa-miR-522-3p",5.44108202987981,-2.32287186743832,0.75014608540484,-3.09655934041796,0.0019578067201546,0.310203598104496
"hsa-miR-221-5p",666.486533327133,1.38190827551854,0.453725029231199,3.04569549063686,0.00232142811879932,0.331035649740783
"hsa-miR-1247-5p",7.70320172480277,-2.00615246296504,0.666129082385921,-3.01165722382134,0.00259825810952484,0.334632608216232
"hsa-miR-146a-5p",25.0437288190017,-1.82694319718715,0.611602255049031,-2.98714267664151,0.00281598267783646,0.334632608216232
"hsa-miR-148a-5p",141.390592807125,-1.41222884735178,0.48322484450602,-2.92250877289939,0.00347223839256304,0.380877842138069
"hsa-miR-222-3p",6978.51054302125,1.40581898273642,0.48698600390626,2.88677492055198,0.00389212550812331,0.396440783898845
"hsa-miR-4454-5p",140.023314216161,1.30221325814097,0.458116470304029,2.84253752605043,0.00447559619398765,0.425480011508426
"hsa-miR-1283-1-5p",2.32305646361504,-2.04762536757203,0.772598307344525,-2.65031044995408,0.0080417838162836,0.477815988417517
"hsa-miR-222-5p",25.9556683838923,1.4068422690643,0.526485365190437,2.67213936432103,0.00753693393970945,0.477815988417517
"hsa-miR-543-3p",3.91624232964002,2.11867714490487,0.772443958854739,2.7428231143734,0.00609134883286311,0.477815988417517
"hsa-miR-1283-2-5p",2.32305646361504,-2.04762536757203,0.772598307344525,-2.65031044995408,0.0080417838162836,0.477815988417517
"hsa-miR-30a-3p",283.393821834696,1.03752234899211,0.386361832858522,2.68536449709832,0.00724507459310827,0.477815988417517
"hsa-miR-542-3p",157.898348113863,-1.09509439482515,0.403878972616946,-2.71144196423363,0.00669912671462178,0.477815988417517
