"HEK_Pellet_SDPR_1"	"HEK_Pellet_PRTF_1"	"HEK_Pellet_CAV_1"	"HEK_Pellet_PN4.11_1"	"HEK_Pellet_PRKCA4_1"	"HEK_Pellet_SDPR_2"	"HEK_Pellet_PRTF_2"	"HEK_Pellet_CAV_2"	"HEK_Pellet_PN4.11_2"	"HEK_Pellet_PRKCA4_2"	"HEK_Pellet_SDPR_3"	"HEK_Pellet_PRTF_3"
"hsa-miR-590-3p"	315.965615945331	172.431241960023	95.6768815971683	120.17996910253	123.42632376112	88.1468897615434	98.2043754771679	347.400876555326	62.8161462553697	383.071226346367	84.2936971669008	593.389116984975
"hsa-miR-338-3p"	16.673647279437	3.00752166209343	6.06097892470749	7.30065232865837	0	0	5.03612181934194	21.2153207056688	1.30866971365354	14.2433528387103	5.2683560729313	4.9586834288438
"hsa-let-7f-2-5p"	3546.48477633624	5356.3960801884	6203.84485650417	3878.33115243959	10491.2375196952	11106.5081099545	7541.59242446456	4355.32854653458	4386.66088016665	3350.93616784396	4861.8145959701	4988.43552941686
"hsa-miR-30c-2-3p"	143.393366603158	132.330953132111	296.555040244617	244.852647330388	617.131618805602	88.1468897615434	301.537793933099	127.291924234013	244.721236453211	176.91743525977	348.589560158954	214.876281916565
"hsa-miR-1254-1-5p"	10.837870731634	8.02005776558248	15.5853743778193	5.61588640666029	0	0	12.5903045483549	10.6076603528344	11.123692566055	8.24615164346387	26.3417803646565	9.9173668576876
"hsa-miR-590-5p"	3.3347294558874	6.01504332418686	7.79268718890964	8.98541825065646	0	0	3.77709136450646	11.4916320489039	3.27167428413384	8.99580179286968	19.3173056007481	16.5289447628127
"hsa-miR-4485-3p"	7.50314127574664	6.01504332418686	17.7500097080719	11.2317728133206	123.42632376112	0	10.0722436386839	9.72368865676485	15.7040365638424	11.2447522410871	4.39029672744275	3.30578895256253
"hsa-miR-9-3-3p"	39.1830711066769	27.0676949588409	61.475643379176	56.1588640666029	0	0	40.9184897821533	38.8947546270594	26.1733942730707	54.7244609066239	30.7320770920993	34.7107840019066
"hsa-miR-4510-5p"	1.6673647279437	7.01755054488467	9.95732251916231	10.6701841726545	0	0	10.0722436386839	4.41985848034766	4.58034399778737	4.49790089643484	5.2683560729313	1.65289447628127
"hsa-miR-195-5p"	24.1767885551836	30.0752166209343	93.9451733329662	69.6369914425875	0	0	40.2889745547355	47.7344715877547	27.4820639867242	40.4811080679136	21.0734242917252	56.1984121935631
"hsa-miR-3176-3p"	9.17050600369034	13.0325938690715	17.3170826420214	16.2860705793148	0	0	13.2198197757726	15.027518833182	24.2103897025904	17.2419534363336	51.8055013838245	51.2397287647193
"hsa-miR-551b-5p"	17.5073296434088	25.0626805174453	27.2744051611837	17.9708365013129	0	0	16.9969111402791	16.7954622253211	16.3583714206692	15.7426531375219	27.2198397101451	14.8760502865314
"hsa-miR-422a-5p"	21.6757414632681	66.1654765660555	39.3963630105987	61.2131618325971	0	0	70.5057054707872	49.5024149798938	63.4704811121964	49.4769098607832	67.6105696026184	79.3389348615008
"hsa-miR-3653-5p"	16.673647279437	12.0300866483737	7.3597601228591	6.17747504732631	0	0	11.9607893209371	8.83971696069532	9.16068799557475	3.74825074702903	8.7805934548855	1.65289447628127
"hsa-miR-20a-5p"	19487.325257842	21694.2562559006	50625.1923227514	25604.5108938862	9997.53222465075	16836.0559444548	13431.336892185	29091.5085176483	11155.7549740396	21556.9396963134	7337.06389090233	19790.1055645156
"hsa-miR-1255a-5p"	26.6778356470992	28.0702021795387	9.52439545311178	16.8476592199809	0	0	41.548005009571	17.6794339213906	26.1733942730707	14.9930029881161	40.3907298924733	36.3636784781879
"hsa-miR-320b-1-3p"	709.463691740043	811.028341544529	767.579688107599	885.625286330327	1481.11588513345	705.175118092348	1169.63929254217	605.520611807629	865.030680724987	665.689332672356	725.277019373543	730.57935851632
"hsa-miR-455-3p"	21.6757414632681	25.0626805174453	32.9024570198407	31.4489638772976	0	0	25.1806090967097	25.6351791860164	17.012706277496	24.7384549303916	12.2928308368397	9.9173668576876
"hsa-miR-18b-5p"	24.1767885551836	11.0275794276759	25.1097698309311	46.0502685346143	0	88.1468897615434	13.8493350031903	27.4031225781555	12.4323622797086	33.7342567232613	7.0244747639084	51.2397287647193
"hsa-miR-500b-5p"	144.22704896713	108.270779835364	61.0427163131255	46.6118571752804	123.42632376112	88.1468897615434	77.4303729723823	80.4414243423274	104.693577092283	54.7244609066239	116.781892949977	183.471286867221
"hsa-miR-3929-3p"	5.00209418383109	3.00752166209343	9.09146838706124	7.8622409693244	0	0	3.14757613708871	4.41985848034766	3.92600914096061	2.99860059762323	0.87805934548855	1.65289447628127
"hsa-miR-548ar-3p"	5.83577654780294	8.02005776558248	9.52439545311178	4.49270912532823	0	0	6.29515227417743	6.18780187248672	4.58034399778737	12.7440525398987	5.2683560729313	13.2231558102501
"hsa-miR-30d-5p"	13612.3656389323	37677.2288754858	19462.6691813679	14973.0763374377	10367.8111959341	19216.0219680165	22054.4364773532	23914.086293769	26490.0923437749	14151.1458703334	11218.9642573072	11694.22841969
"hsa-miR-205-5p"	12.5052354595777	17.0426227518628	11.2561037173139	13.4781273759847	863.984266327843	2996.99425189248	17.6264263676968	9.72368865676485	3.27167428413384	22.4895044821742	3.5122373819542	36.3636784781879
"hsa-miR-1275-5p"	8.33682363971849	13.0325938690715	29.0061134253859	42.1191480499521	0	0	29.5872156886339	19.4473773135297	16.3583714206692	31.4853062750439	20.1953649462367	26.4463116205003
"hsa-miR-320d-2-3p"	30.8462474669584	22.0551588553518	38.5305088784976	42.6807366906182	740.557942566723	0	40.2889745547355	22.9832640978078	27.4820639867242	24.7384549303916	26.3417803646565	29.7521005730628
"hsa-miR-573-5p"	5.00209418383109	20.0501444139562	6.06097892470749	5.05429776599426	123.42632376112	0	9.44272841126614	10.6076603528344	6.54334856826767	5.24755104584065	27.2198397101451	36.3636784781879
"hsa-miR-204-5p"	140.058637147271	157.393633649556	46.3231960674073	33.6953184399617	0	0	57.9154009224323	99.0048299597876	58.8901371144091	49.4769098607832	57.0738574567558	31.4049950493441
"hsa-miR-320b-2-3p"	821.177128512271	875.188803669189	1194.01284816738	1252.34266868524	1727.96853265569	1145.90956690006	1588.89643400238	725.740762473086	1177.14840743135	793.879508220749	1163.42863277233	950.414323861728
"hsa-miR-342-3p"	221.759508816512	173.433749180721	127.280557418857	113.440905414538	0	88.1468897615434	215.923723004286	152.927103420029	273.511970153589	158.176181524625	188.782759280038	366.942573734441
