PC3_Pellet_GFP_4.3	PC3_Pellet_GFP_23.3	PC3_Pellet_GFP_6.3	PC3_Pellet_CAV1_4.3	PC3_Pellet_CAV2(1!!)_23.3Q	PC3_Pellet_CAV1_6.3	PC3_Pellet_CAV2_4.3	PC3_Pellet_CAV2_23.3	PC3_Pellet_CAV2_6.3	PC3_Pellet_CAV3_4.3	PC3_Pellet_CAV3_23.3	PC3_Pellet_CAV3_23.3F
hsa-miR-590-3p	33	22	51	40	16	32	6	20	67	18	36	51
hsa-let-7f-2-5p	11588	85004	24395	36373	18569	12836	16814	44178	15756	23901	12905	16701
hsa-miR-30c-2-3p	21	121	23	46	46	10	58	143	28	35	23	28
hsa-miR-1254-1-5p	11	5	3	12	7	6	4	10	5	14	6	2
hsa-miR-4485-3p	1	15	28	8	19	3	4	30	34	18	24	3
hsa-let-7a-2-3p	12	25	43	47	35	15	17	22	61	33	32	38
hsa-miR-422a-5p	9	17	15	28	16	11	15	18	15	13	16	21
hsa-miR-20a-5p	4590	16200	4996	3297	2601	2435	819	6703	3030	1275	1924	3244
hsa-miR-320b-1-3p	243	505	235	429	271	139	157	417	159	293	173	191
hsa-miR-3929-3p	10	22	12	9	10	5	6	15	10	11	3	8
hsa-miR-30d-5p	10121	16434	13000	20379	12350	7979	8557	13819	9129	16971	9867	13269
hsa-miR-205-5p	14677	35972	13770	16601	9235	7565	4031	13612	6572	6159	9286	10113
hsa-miR-1275-5p	20	176	91	90	19	17	14	61	45	29	61	39
hsa-miR-320d-2-3p	15	36	25	33	15	8	14	37	16	21	9	20
hsa-miR-320b-2-3p	266	689	269	524	365	169	182	627	173	400	200	216
hsa-miR-342-3p	53	47	32	60	37	20	31	38	30	56	25	39
hsa-miR-24-2-5p	81	286	147	244	305	86	90	430	157	133	133	180
hsa-miR-29c-5p	9	9	20	16	6	10	3	5	12	8	9	17
hsa-miR-619-5p	8	33	32	25	13	9	7	31	22	14	17	15
hsa-let-7d-3p	95	193	331	262	139	112	96	177	151	152	126	101
hsa-miR-106a-5p	123	399	125	96	98	43	23	184	71	40	39	72
hsa-miR-1248-5p	6	22	53	25	9	13	4	13	20	7	19	14
hsa-miR-15a-5p	11	96	37	34	20	13	9	47	16	18	13	36
hsa-miR-1296-5p	49	89	95	122	46	34	24	38	53	44	60	51
hsa-miR-93-5p	817	2663	944	1622	1178	693	419	2443	849	644	603	970
hsa-miR-502-3p	34	126	52	74	41	19	27	81	24	34	43	37
hsa-miR-151a-5p	613	525	2391	820	236	497	204	347	542	1117	795	1036
hsa-miR-7641-1-3p	461	156	81	122	73	31	354	1664	33	376	70	59
hsa-miR-584-5p	429	1209	748	1115	674	345	431	1114	714	640	807	667
hsa-miR-423-5p	489	657	479	574	316	310	251	477	315	353	519	472
hsa-miR-500a-3p	56	180	91	120	76	36	63	155	39	64	66	74
hsa-miR-200c-3p	34	131	63	56	58	41	21	94	28	48	42	91
hsa-miR-629-5p	20	58	61	175	81	45	31	74	41	86	39	36
hsa-let-7i-5p	4304	24581	6133	17737	4204	5362	3165	8872	3348	10532	4828	7809
hsa-miR-135b-5p	157	385	406	325	272	170	90	229	209	133	243	362
hsa-miR-330-3p	130	134	164	169	127	75	80	184	106	143	84	99
hsa-miR-23a-3p	658	4111	937	1836	1277	569	678	3736	1038	1244	942	1227
hsa-miR-1273a-5p	4	9	16	15	7	4	3	8	3	11	10	14
hsa-miR-374b-3p	12	21	42	31	13	11	8	17	34	20	25	40
hsa-miR-450a-2-5p	462	298	1126	461	72	375	62	98	425	236	657	514
hsa-miR-21-5p	452083	589670	492353	941163	668578	560107	627874	521038	507890	487438	436222	639483
hsa-miR-365b-3p	49	190	84	76	68	48	43	163	122	76	63	104
hsa-let-7f-2-3p	119	91	210	100	70	110	31	78	177	55	149	177
hsa-miR-1260b-5p	12	18	14	16	9	5	2	19	13	3	12	8
hsa-miR-6747-3p	2	9	20	15	14	6	6	11	13	24	10	14
hsa-miR-181d-5p	113	238	318	209	176	142	85	246	224	197	127	164
hsa-miR-582-3p	20	15	29	67	38	39	16	25	61	36	62	40
hsa-miR-1307-3p	406	576	996	1047	641	308	289	542	607	644	465	295
hsa-miR-365a-3p	49	191	84	76	68	48	43	163	122	76	63	104
hsa-miR-1226-3p	4	7	16	9	10	4	8	15	9	11	7	6
hsa-miR-10b-3p	10	24	12	7	3	2	0	2	2	6	2	2
hsa-miR-18a-3p	17	36	15	14	7	7	7	19	10	7	4	7
hsa-miR-27a-5p	134	140	145	286	145	61	96	149	71	229	87	51
hsa-miR-320c-1-3p	43	125	67	94	52	29	36	107	46	74	47	47
hsa-miR-152-3p	57	356	147	127	64	67	44	126	28	142	96	94
hsa-miR-937-3p	1	9	17	11	15	5	6	7	7	17	6	4
hsa-miR-574-5p	25	52	34	192	214	63	97	207	60	168	66	84
hsa-miR-760-3p	8	8	10	12	5	6	2	16	11	18	14	12
hsa-miR-148a-3p	16088	29938	56907	28603	10679	14208	7244	6113	6633	21705	30513	23586
hsa-miR-99b-5p	2599	8418	4641	6189	3078	2248	3283	6572	2022	6038	4040	5541
hsa-miR-935-3p	6	12	11	22	6	2	6	3	3	13	10	7
hsa-miR-22-5p	41	70	96	99	78	41	11	59	92	23	60	66
hsa-miR-92a-1-5p	21	16	14	16	12	3	4	19	5	11	3	0
hsa-miR-3065-5p	15	15	10	33	9	14	7	28	11	13	11	12
hsa-miR-19a-3p	595	563	553	168	126	301	44	199	363	84	200	385
hsa-miR-1301-3p	25	63	21	37	17	12	13	49	9	23	22	19
hsa-miR-361-5p	69	252	91	184	89	66	33	242	68	81	74	73
hsa-miR-183-5p	1107	4146	2719	4594	4253	1483	3492	6436	2470	4887	2882	3637
hsa-miR-128-2-3p	1493	1540	5314	5767	2061	2880	908	1776	3497	3080	3536	2441
hsa-miR-454-5p	12	14	22	31	7	8	4	15	13	13	7	7
hsa-miR-181a-1-5p	812	2338	2462	2275	1934	1348	941	2102	1491	1644	1370	2036
hsa-miR-301a-5p	14	18	35	33	13	8	4	24	28	15	12	23
