miRNAs	PC3_Pellet_GFP_4.3	PC3_Pellet_CAV1_4.3	PC3_Pellet_CAV2_4.3	PC3_Pellet_CAV3_4.3	PC3_Pellet_GFP_23.3	PC3_Pellet_CAV1_23.3	PC3_Pellet_CAV2_23.3	PC3_Pellet_CAV3_23.3	PC3_Pellet_GFP_6.3	PC3_Pellet_CAV1_6.3	PC3_Pellet_CAV2_6.3	PC3_Pellet_CAV3_23.3F
hsa-miR-590-3p	35.12112803	19.3964087	7.706716461	13.67852127	11.80302656	12.68811922	12.478751	28.85087843	28.15648156	34.5095216	54.63620588	41.40415363
hsa-miR-338-3p	0	0	0	0	0.536501207	0.793007451	1.87181265	0	1.656263621	1.07842255	1.630931519	0
hsa-miR-513a-1-5p	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6738-5p	0	0	0	0	0	0	0.62393755	0.80141329	0	0	0	0
hsa-let-7f-2-5p	12332.83732	17637.63934	21596.78843	18162.79649	45604.74861	14725.35536	27564.31308	10342.2385	13468.18368	13842.63185	12848.47851	13558.64254
hsa-miR-133a-1-3p	0	0	0	0	1.073002414	0.793007451	0	0.80141329	0.552087874	1.07842255	0	0
hsa-miR-4474-5p	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-30c-2-3p	22.34980875	22.30587001	74.49825912	26.59712469	64.91664606	36.47834276	89.22306964	18.43250566	12.69802109	10.7842255	22.83304126	22.73169219
hsa-miR-5585-5p	1.064276607	0	1.284452744	0	0	0	0	0	0	0	0	0
hsa-miR-1254-1-5p	11.70704268	5.818922611	5.137810974	10.63884988	2.682506036	5.551052158	6.239375499	4.808479738	1.656263621	6.4705353	4.077328797	1.623692299
hsa-miR-520e-3p	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6073-3p	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3198-2-3p	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6888-3p	0	1.454730653	0	0.759917848	0.536501207	2.379022354	0.62393755	1.602826579	0.552087874	0	0.815465759	0.81184615
hsa-miR-2467-5p	1.064276607	0	0	0	0.536501207	0.793007451	0.62393755	1.602826579	0.552087874	0	0	0
hsa-miR-590-5p	3.192829821	0.484910218	0	0	0	0	0	0	0	0	1.630931519	0.81184615
hsa-miR-6811-5p	0	0.484910218	0	0	1.073002414	0	2.4957502	0	0	0	0.815465759	0
hsa-miR-4485-3p	1.064276607	3.879281741	5.137810974	13.67852127	8.047518107	15.06714157	18.7181265	19.23391895	15.45846046	3.23526765	27.72583582	2.435538449
hsa-miR-4706-3p	0	0	0	0	0	0	0	0	0	0	0	0
